Unnamed: 0,Ovhd,Rank,CONTROL
Arizona State University-Skysong,0.28,16.0,1
United States Air Force Academy,0.33,20.0,1
University of Missouri-Columbia,0.36,23.0,1
East Carolina University,0.4,32.0,1
University of Cincinnati-Blue Ash College,0.44,40.0,1
Naval Postgraduate School,0.46,43.0,1
The University of Texas at Brownsville,0.52,53.5,1
Concord University,0.55,58.5,1
University of Pittsburgh-Johnstown,0.59,70.5,1
Louisiana Tech University,0.6,75.0,1
Lock Haven University,0.61,81.5,1
Kutztown University of Pennsylvania,0.61,81.5,1
Kent State University at Trumbull,0.62,85.5,1
Colorado State University-Fort Collins,0.62,85.5,1
University of North Carolina at Chapel Hill,0.64,96.0,1
Kent State University at Stark,0.64,96.0,1
Salisbury University,0.64,96.0,1
University of Puerto Rico-Bayamon,0.64,96.0,1
Winona State University,0.64,96.0,1
Western Washington University,0.64,96.0,1
Kent State University at Salem,0.64,96.0,1
Pennsylvania State University-Penn State Great Valley,0.64,96.0,1
University of Cincinnati-Clermont College,0.64,96.0,1
University of Puerto Rico-Arecibo,0.65,104.0,1
University of Nebraska at Kearney,0.66,110.5,1
Southern Arkansas University Main Campus,0.66,110.5,1
Truman State University,0.66,110.5,1
West Chester University of Pennsylvania,0.66,110.5,1
Edinboro University of Pennsylvania,0.67,117.5,1
University of Missouri-Kansas City,0.68,123.5,1
West Texas A & M University,0.68,123.5,1
University of Science and Arts of Oklahoma,0.69,131.0,1
Georgia Gwinnett College,0.69,131.0,1
University of Washington-Tacoma Campus,0.69,131.0,1
Metropolitan State University of Denver,0.7,138.0,1
Ohio University-Eastern Campus,0.7,138.0,1
Pennsylvania State University-Penn State Erie-Behrend College,0.7,138.0,1
University of Puerto Rico-Aguadilla,0.71,145.5,1
Central Michigan University,0.71,145.5,1
West Liberty University,0.71,145.5,1
Millersville University of Pennsylvania,0.72,153.0,1
Rutgers University-Newark,0.72,153.0,1
Bloomsburg University of Pennsylvania,0.72,153.0,1
East Stroudsburg University of Pennsylvania,0.72,153.0,1
Arizona State University-Polytechnic,0.72,153.0,1
Shippensburg University of Pennsylvania,0.73,158.5,1
United States Merchant Marine Academy,0.74,165.5,1
Henderson State University,0.74,165.5,1
Plymouth State University,0.74,165.5,1
Appalachian State University,0.74,165.5,1
Keene State College,0.74,165.5,1
University of Maine at Machias,0.74,165.5,1
Montana Tech of the University of Montana,0.75,175.5,1
University of Wisconsin-La Crosse,0.75,175.5,1
Indiana University of Pennsylvania-Main Campus,0.75,175.5,1
University of Central Arkansas,0.75,175.5,1
Ohio University-Chillicothe Campus,0.75,175.5,1
University of Wisconsin-Eau Claire,0.76,186.5,1
Tarleton State University,0.76,186.5,1
Southwestern Oklahoma State University,0.76,186.5,1
Ohio University-Southern Campus,0.76,186.5,1
Southern Connecticut State University,0.77,199.5,1
Pennsylvania State University-Penn State Worthington Scranton,0.77,199.5,1
Indiana University-Southeast,0.77,199.5,1
Nicholls State University,0.77,199.5,1
University of Maine at Farmington,0.78,212.5,1
Kent State University at Tuscarawas,0.78,212.5,1
South Dakota School of Mines and Technology,0.78,212.5,1
Pennsylvania State University-Penn State Berks,0.78,212.5,1
Texas A & M University-Kingsville,0.78,212.5,1
CUNY Bernard M Baruch College,0.78,212.5,1
