UNITID,EFCSTATE,LINE,XEFRES01,EFRES01,XEFRES02,EFRES02 
100654, 1,  1,"R",777,"R",537
100654, 5,  5,"R",3,"R",3
100654, 6,  6,"R",28,"R",18
100654, 8,  8,"R",2,"R",2
100654,11, 11,"R",7,"R",3
100654,12, 12,"R",22,"R",11
100654,13, 13,"R",93,"R",57
100654,15, 15,"R",1,"R",0
100654,17, 17,"R",72,"R",48
100654,18, 18,"R",6,"R",4
100654,20, 20,"R",1,"R",0
100654,21, 21,"R",5,"R",2
100654,24, 24,"R",8,"R",7
100654,25, 25,"R",1,"R",1
100654,26, 26,"R",25,"R",11
100654,27, 27,"R",1,"R",1
100654,28, 28,"R",5,"R",4
100654,29, 29,"R",21,"R",21
100654,32, 32,"R",9,"R",4
100654,34, 34,"R",1,"R",1
100654,36, 36,"R",1,"R",1
100654,37, 37,"R",2,"R",2
100654,39, 39,"R",10,"R",9
100654,42, 42,"R",3,"R",2
100654,45, 45,"R",1,"R",1
100654,47, 47,"R",26,"R",18
100654,48, 48,"R",7,"R",6
100654,51, 51,"R",4,"R",3
100654,53, 53,"R",1,"R",1
100654,55, 55,"R",3,"R",2
100654,58,999,"R",1146,"R",780
100654,98, 98,"R",61,"A",
100654,99, 99,"R",1207,"R",780
100663, 1,  1,"R",1471,"R",1411
100663, 5,  5,"R",1,"R",1
100663, 6,  6,"R",12,"R",11
100663,12, 12,"R",32,"R",31
100663,13, 13,"R",73,"R",73
100663,17, 17,"R",10,"R",10
100663,18, 18,"R",1,"R",1
100663,19, 19,"R",1,"R",1
100663,20, 20,"R",1,"R",1
100663,21, 21,"R",3,"R",3
100663,22, 22,"R",2,"R",1
100663,24, 24,"R",3,"R",3
100663,25, 25,"R",1,"R",1
100663,26, 26,"R",5,"R",5
100663,28, 28,"R",24,"R",24
100663,31, 31,"R",1,"R",1
100663,32, 32,"R",3,"R",3
100663,34, 34,"R",2,"R",2
100663,35, 35,"R",1,"R",1
100663,36, 36,"R",2,"R",2
100663,37, 37,"R",5,"R",5
100663,39, 39,"R",6,"R",5
100663,40, 40,"R",2,"R",2
100663,42, 42,"R",1,"R",1
100663,45, 45,"R",4,"R",4
100663,47, 47,"R",29,"R",28
100663,48, 48,"R",11,"R",11
100663,51, 51,"R",3,"R",3
100663,54, 54,"R",1,"R",1
100663,55, 55,"R",3,"R",3
100663,58,999,"R",1714,"R",1649
100663,90, 90,"R",34,"R",23
100663,99, 99,"R",1748,"R",1672
100690, 1,  1,"R",7,"R",1
100690,13, 13,"R",1,"Z",0
100690,29, 29,"R",1,"Z",0
100690,57, 57,"R",3,"Z",0
100690,58,999,"R",12,"R",1
100690,99, 99,"R",12,"R",1
100706, 1,  1,"R",581,"R",564
100706, 6,  6,"R",5,"R",5
100706,12, 12,"R",2,"R",2
100706,13, 13,"R",12,"R",12
100706,17, 17,"R",8,"R",8
100706,18, 18,"R",1,"R",1
100706,20, 20,"R",2,"R",2
100706,21, 21,"R",9,"R",8
100706,22, 22,"R",2,"R",2
100706,26, 26,"R",1,"R",1
100706,28, 28,"R",2,"R",2
100706,29, 29,"R",3,"R",3
100706,32, 32,"R",1,"R",1
100706,36, 36,"R",1,"R",1
100706,37, 37,"R",2,"R",2
100706,39, 39,"R",3,"R",3
100706,42, 42,"R",2,"R",2
100706,45, 45,"R",3,"R",3
100706,47, 47,"R",55,"R",52
100706,48, 48,"R",6,"R",6
100706,51, 51,"R",2,"R",2
100706,53, 53,"R",1,"R",0
100706,54, 54,"R",1,"R",1
100706,55, 55,"R",4,"R",4
100706,57, 57,"R",4,"R",4
100706,58,999,"R",713,"R",691
100706,66, 66,"R",1,"R",1
100706,89,999,"R",1,"R",1
100706,90, 90,"R",10,"R",8
100706,99, 99,"R",724,"R",700
100724, 1,  1,"R",581,"R",375
100724, 4,  4,"R",1,"R",0
100724, 6,  6,"R",37,"R",1
100724, 9,  9,"R",1,"R",0
100724,11, 11,"R",8,"R",0
100724,12, 12,"R",54,"R",40
100724,13, 13,"R",184,"R",135
100724,17, 17,"R",48,"R",28
100724,18, 18,"R",5,"R",1
100724,21, 21,"R",4,"R",1
100724,22, 22,"R",7,"R",5
100724,24, 24,"R",10,"R",7
100724,25, 25,"R",3,"R",2
100724,26, 26,"R",27,"R",18
100724,27, 27,"R",1,"R",1
100724,28, 28,"R",5,"R",2
100724,29, 29,"R",4,"R",1
100724,32, 32,"R",5,"R",0
100724,34, 34,"R",3,"R",3
100724,36, 36,"R",7,"R",6
100724,37, 37,"R",6,"R",2
100724,39, 39,"R",26,"R",19
100724,42, 42,"R",4,"R",4
100724,45, 45,"R",1,"R",0
100724,47, 47,"R",10,"R",8
100724,48, 48,"R",11,"R",9
100724,51, 51,"R",4,"R",3
100724,53, 53,"R",1,"R",0
100724,54, 54,"R",1,"R",1
100724,55, 55,"R",9,"R",5
100724,56, 56,"R",1,"R",0
100724,57, 57,"R",12,"R",2
100724,58,999,"R",1081,"R",679
100724,72, 72,"R",1,"Z",0
100724,78, 78,"R",5,"R",4
100724,89,999,"R",6,"R",4
100724,99, 99,"R",1087,"R",683
100751, 1,  1,"R",2462,"R",2461
100751, 2,  2,"R",2,"R",2
100751, 4,  4,"R",27,"R",26
100751, 5,  5,"R",28,"R",28
100751, 6,  6,"R",267,"R",267
100751, 8,  8,"R",66,"R",66
100751, 9,  9,"R",67,"R",67
100751,10, 10,"R",21,"R",21
100751,11, 11,"R",3,"R",3
100751,12, 12,"R",386,"R",386
100751,13, 13,"R",509,"R",509
100751,15, 15,"R",9,"R",9
100751,16, 16,"R",2,"R",2
100751,17, 17,"R",290,"R",290
100751,18, 18,"R",57,"R",57
100751,19, 19,"R",3,"R",3
100751,20, 20,"R",24,"R",24
100751,21, 21,"R",92,"R",92
100751,22, 22,"R",69,"R",69
100751,23, 23,"R",1,"R",1
100751,24, 24,"R",131,"R",131
100751,25, 25,"R",85,"R",85
100751,26, 26,"R",98,"R",98
100751,27, 27,"R",13,"R",13
100751,28, 28,"R",78,"R",78
100751,29, 29,"R",100,"R",100
100751,30, 30,"R",1,"R",1
100751,31, 31,"R",3,"R",3
100751,32, 32,"R",3,"R",3
100751,33, 33,"R",22,"R",22
100751,34, 34,"R",142,"R",142
100751,35, 35,"R",2,"R",2
100751,36, 36,"R",127,"R",127
100751,37, 37,"R",171,"R",171
100751,39, 39,"R",123,"R",123
100751,40, 40,"R",6,"R",6
100751,41, 41,"R",6,"R",6
100751,42, 42,"R",123,"R",123
100751,44, 44,"R",8,"R",8
100751,45, 45,"R",83,"R",83
100751,47, 47,"R",320,"R",320
100751,48, 48,"R",425,"R",424
100751,49, 49,"R",5,"R",5
100751,50, 50,"R",1,"R",1
100751,51, 51,"R",189,"R",189
100751,53, 53,"R",26,"R",26
100751,54, 54,"R",7,"R",7
100751,55, 55,"R",31,"R",31
100751,56, 56,"R",1,"R",1
100751,57, 57,"R",15,"R",14
100751,58,999,"R",6730,"R",6726
100751,66, 66,"R",1,"R",1
100751,89,999,"R",1,"R",1
