UNITID,XF1A01,F1A01,XF1A31,F1A31,XF1A04,F1A04,XF1A05,F1A05,XF1A06,F1A06,XF1A07,F1A07,XF1A08,F1A08,XF1A09,F1A09,XF1A10,F1A10,XF1A11,F1A11,XF1A12,F1A12,XF1A13,F1A13,XF1A14,F1A14,XF1A15,F1A15,XF1A16,F1A16,XF1A17,F1A17,XF1A18,F1A18,XF1A214,F1A214,XF1A224,F1A224,XF1A234,F1A234,XF1A324,F1A324,XF1A274,F1A274,XF1A27T4,F1A27T4,XF1A284,F1A284,XF1A334,F1A334,XF1A344,F1A344,XF1B01,F1B01,XF1B02,F1B02,XF1B03,F1B03,XF1B04,F1B04,XF1B04A,F1B04A,XF1B04B,F1B04B,XF1B05,F1B05,XF1B06,F1B06,XF1B26,F1B26,XF1B07,F1B07,XF1B08,F1B08,XF1B09,F1B09,XF1B10,F1B10,XF1B11,F1B11,XF1B12,F1B12,XF1B13,F1B13,XF1B14,F1B14,XF1B15,F1B15,XF1B16,F1B16,XF1B17,F1B17,XF1B18,F1B18,XF1B19,F1B19,XF1B27,F1B27,XF1B20,F1B20,XF1B21,F1B21,XF1B22,F1B22,XF1B23,F1B23,XF1B24,F1B24,XF1B25,F1B25,XF1C011,F1C011,XF1C012,F1C012,XF1C013,F1C013,XF1C014,F1C014,XF1C015,F1C015,XF1C016,F1C016,XF1C017,F1C017,XF1C021,F1C021,XF1C022,F1C022,XF1C023,F1C023,XF1C024,F1C024,XF1C025,F1C025,XF1C026,F1C026,XF1C027,F1C027,XF1C031,F1C031,XF1C032,F1C032,XF1C033,F1C033,XF1C034,F1C034,XF1C035,F1C035,XF1C036,F1C036,XF1C037,F1C037,XF1C051,F1C051,XF1C052,F1C052,XF1C053,F1C053,XF1C054,F1C054,XF1C055,F1C055,XF1C056,F1C056,XF1C057,F1C057,XF1C061,F1C061,XF1C062,F1C062,XF1C063,F1C063,XF1C064,F1C064,XF1C065,F1C065,XF1C066,F1C066,XF1C067,F1C067,XF1C071,F1C071,XF1C072,F1C072,XF1C073,F1C073,XF1C074,F1C074,XF1C075,F1C075,XF1C076,F1C076,XF1C077,F1C077,XF1C081,F1C081,XF1C082,F1C082,XF1C083,F1C083,XF1C084,F1C084,XF1C085,F1C085,XF1C086,F1C086,XF1C087,F1C087,XF1C101,F1C101,XF1C105,F1C105,XF1C111,F1C111,XF1C112,F1C112,XF1C113,F1C113,XF1C114,F1C114,XF1C115,F1C115,XF1C116,F1C116,XF1C117,F1C117,XF1C121,F1C121,XF1C122,F1C122,XF1C123,F1C123,XF1C124,F1C124,XF1C125,F1C125,XF1C126,F1C126,XF1C127,F1C127,XF1C131,F1C131,XF1C132,F1C132,XF1C133,F1C133,XF1C134,F1C134,XF1C135,F1C135,XF1C136,F1C136,XF1C137,F1C137,XF1C141,F1C141,XF1C142,F1C142,XF1C143,F1C143,XF1C144,F1C144,XF1C145,F1C145,XF1C146,F1C146,XF1C147,F1C147,XF1C191,F1C191,XF1C192,F1C192,XF1C193,F1C193,XF1C194,F1C194,XF1C195,F1C195,XF1C196,F1C196,XF1C197,F1C197,XF1D01,F1D01,XF1D02,F1D02,XF1D03,F1D03,XF1D04,F1D04,XF1D05,F1D05,XF1D06,F1D06,XF1E01,F1E01,XF1E02,F1E02,XF1E03,F1E03,XF1E04,F1E04,XF1E05,F1E05,XF1E06,F1E06,XF1E07,F1E07,XF1E08,F1E08,XF1E09,F1E09,XF1E10,F1E10,XF1E11,F1E11,F1FHA,XF1H01,F1H01,XF1H02,F1H02   
100654,"R",76383233,"R",117444345,"R",4434204,"R",121878549,"R",198261782,"R",3110000,"R",62829662,"R",65939662,"R",50748032,"R",0,"R",50748032,"R",116687694,"R",60534806,"R",19355987,"R",0,"R",1683295,"R",81574088,"R",4982207,"R",0,"R",159825301,"R",29979207,"R",0,"R",194786715,"R",94273332,"R",0,"R",0,"R",27758403,"R",974834,"R",570176,"R",0,"R",0,"R",0,"R",10257384,"R",0,"R",2191128,"R",0,"R",37386133,"R",79138058,"R",2223795,"R",40405340,"R",0,"R",14017178,"R",0,"R",0,"R",0,"R",20255,"R",3430001,"R",60096569,"R",139234627,"R",0,"R",0,"R",0,"R",0,"R",0,"R",139234627,"R",37967292,"R",23007589,"R",5469164,"R",1805754,"R",4571507,"R",2376911,"R",736367,"R",7167427,"R",3002849,"R",537127,"R",340888,"R",2698841,"R",448711,"R",139011,"R",14534048,"R",7249779,"R",1787260,"R",691251,"R",3613981,"R",909892,"R",281885,"R",4875424,"R",2481430,"R",611554,"R",231879,"R",1150781,"R",305222,"R",94558,"R",13781404,"R",6279605,"R",1478977,"R",655454,"R",4237308,"R",862773,"R",267287,"R",25234001,"R",9031259,"R",3800559,"R",1200149,"R",9132872,"R",1579754,"R",489408,"R",0,"Z",0,"Z",0,"Z",0,"R",8542169,"R",-8542169,"Z",0,"R",16856540,"R",16856540,"R",13552151,"R",1356507,"R",343457,"R",643124,"R",10100261,"R",846543,"R",262259,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",5510059,"R",0,"R",0,"R",921040,"R",3001066,"R",1212363,"R",375590,"R",139478346,"R",52409018,"R",14028098,"R",6489539,"R",63905326,"R",0,"R",2646365,"R",139234627,"R",139478346,"R",-243719,"R",81817807,"R",0,"R",81574088,"R",14017178,"R",1990141,"R",0,"R",0,"R",0,"R",10714848,"R",26722167,"R",9865627,"R",0,"R",9865627,"R",16856540,2 ,"A",,"A",
100663,"R",723622803,"R",1432313846,"R",1185804113,"R",2618117959,"R",3341740762,"R",25234606,"R",244869515,"R",270104121,"R",750148023,"R",29274749,"R",779422772,"R",1049526893,"R",686190316,"R",211873745,"R",252744971,"R",1141404837,"R",2292213869,"R",100393931,"R",98937809,"R",1952955346,"R",779977553,"R",99056330,"R",3031320969,"R",1559007124,"R",0,"R",0,"R",130734455,"R",296307720,"R",6155771,"R",43454432,"R",314715,"R",43139717,"R",21281904,"R",1194615262,"R",55906284,"R",0,"R",39564744,"R",1788020572,"R",0,"R",268640355,"R",0,"R",24899712,"R",106859,"R",0,"R",32681365,"R",127563753,"R",41964878,"R",495856922,"R",2283877494,"R",11076675,"R",3602784,"R",11009612,"R",0,"R",25689071,"R",2309566565,"R",272674049,"R",176644846,"R",47545396,"R",11563978,"R",23227468,"R",12265680,"R",1426681,"R",267768714,"R",124213776,"R",35078578,"R",10101618,"R",87929531,"R",9502104,"R",943107,"R",86237422,"R",34847665,"R",10021913,"R",12706619,"R",27280767,"R",886465,"R",493993,"R",174019800,"R",96500889,"R",26959601,"R",18123656,"R",28661930,"R",3035339,"R",738385,"R",31257115,"R",13501751,"R",3739696,"R",1575193,"R",8489860,"R",3017737,"R",932878,"R",105419298,"R",44522037,"R",19529349,"R",4845077,"R",25251293,"R",11227904,"R",43638,"R",0,"R",20060443,"R",6299034,"R",3633373,"R",32605308,"R",-63841477,"R",1243319,"R",19158339,"R",19158339,"R",51318015,"R",13890688,"R",4329371,"R",6475679,"R",20188741,"R",5435543,"R",997993,"R",1127102349,"R",412758029,"R",123454389,"R",53356743,"R",498350263,"R",18470705,"R",20712220,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2134955101,"R",936940124,"R",276957327,"R",122381936,"R",771143500,"R",0,"R",27532214,"R",2309566565,"R",2134955101,"R",174611464,"R",2117602405,"R",0,"R",2292213869,"R",17037465,"R",10747993,"R",225135,"R",0,"R",7963906,"R",30612911,"R",66587410,"R",44449656,"R",2979415,"R",47429071,"R",19158339,1 ,"R",326970873,"R",366669135
100706,"R",147977985,"R",198619905,"R",68034485,"R",266654390,"R",414632375,"R",3450000,"R",46448977,"R",49898977,"R",78266000,"R",0,"R",78266000,"R",128164977,"R",125072139,"R",8362708,"R",7598871,"R",145433680,"R",286467398,"R",15134774,"R",0,"R",287330900,"R",90133550,"R",2224158,"R",394823382,"R",194672632,"R",2939750,"R",0,"R",50032801,"R",83015931,"R",4067616,"R",1855859,"R",0,"R",1855859,"R",6718898,"R",0,"R",3451345,"R",0,"R",0,"R",149142450,"R",0,"R",43240587,"R",0,"R",8118163,"R",0,"R",0,"R",2203360,"R",9961393,"R",724075,"R",64247578,"R",213390028,"R",0,"R",1175333,"R",3817138,"R",0,"R",4992471,"R",218382499,"R",58286442,"R",34072855,"R",11016319,"R",3675535,"R",5473788,"R",3423583,"R",624362,"R",85738159,"R",46916513,"R",13373299,"R",3446401,"R",16505578,"R",5205467,"R",290901,"R",3088942,"R",1014439,"R",275963,"R",124678,"R",1362505,"R",188768,"R",122589,"R",10915195,"R",5353644,"R",1506099,"R",941375,"R",2475820,"R",627294,"R",10963,"R",14123434,"R",5637651,"R",1659419,"R",237247,"R",5663547,"R",883591,"R",41979,"R",17782037,"R",8636067,"R",781270,"R",899768,"R",6392522,"R",1072410,"R",0,"R",0,"R",3801292,"R",1382870,"R",291213,"R",6199663,"R",-11675038,"R",0,"R",606364,"R",606364,"R",9111207,"R",1099139,"R",264811,"R",2555224,"R",2663622,"R",273925,"R",2254486,"R",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",1,"R",0,"R",0,"R",0,"R",1,"R",0,"R",0,"R",199651781,"R",106531600,"R",30260050,"R",12171441,"R",47343410,"R",0,"R",3345280,"R",218382499,"R",199651781,"R",18730718,"R",267736680,"R",0,"R",286467398,"R",8118163,"R",121562,"R",9000,"R",0,"R",2666198,"R",8961137,"R",19876060,"R",18185728,"R",1083968,"R",19269696,"R",606364,1 ,"R",55859775,"R",65579434
100724,"R",90738486,"R",304856819,"R",14211512,"R",319068331,"R",409806817,"R",6377361,"R",34953040,"R",41330401,"R",228111444,"R",8122216,"R",236233660,"R",277564061,"R",99975114,"R",8376385,"R",250000,"R",23641257,"R",132242756,"R",20299987,"R",21722036,"R",238654828,"R",30353284,"R",78228408,"R",389258543,"R",96145744,"R",0,"R",11744019,"R",41248372,"R",13261457,"R",6082021,"R",2137729,"Z",0,"R",2137729,"R",11402064,"Z",0,"Z",0,"Z",0,"R",4081514,"R",78213157,"Z",0,"R",44313221,"Z",0,"R",18599545,"Z",0,"Z",0,"R",316242,"R",2497835,"R",0,"R",65726843,"R",143940000,"R",1784842,"Z",0,"R",0,"R",0,"R",1784842,"R",145724842,"R",42848156,"R",25389280,"R",5865345,"R",2951908,"R",2325159,"R",4120119,"R",2196345,"R",2553346,"R",525873,"R",125476,"R",175905,"R",1349690,"R",245520,"R",130882,"R",12291998,"R",885629,"R",247245,"R",846824,"R",8500275,"R",1181952,"R",630073,"R",10355648,"R",4702289,"R",1102072,"R",713424,"R",2311285,"R",995760,"R",530818,"R",15795204,"R",6879954,"R",1806087,"R",1088168,"R",3692544,"R",1518808,"R",809643,"R",35551671,"R",11096118,"R",3915525,"R",2449236,"R",12849940,"R",3418516,"R",1822336,"R",0,"R",2472150,"R",866397,"Z",0,"R",8990543,"R",-12329090,"Z",0,"R",21503719,"R",21503719,"R",8823298,"R",2354187,"R",769009,"R",607857,"R",3791558,"R",848415,"R",452272,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",149723040,"R",54305480,"R",14697156,"R",8833322,"R",65314713,"R",0,"R",6572369,"R",145724842,"R",149723040,"R",-3998198,"R",136240954,"R",0,"R",132242756,"R",18384017,"R",215528,"R",12000,"Z",0,"R",2904174,"R",11315650,"R",32831369,"R",6230208,"R",5097442,"R",11327650,"R",21503719,1 ,"R",73383204,"R",78692474
100733,"R",3560418,"R",4128859,"R",11192817,"R",15321676,"R",18882094,"R",0,"R",2292904,"R",2292904,"R",0,"R",0,"R",0,"R",2292904,"R",4128859,"R",0,"R",0,"R",12460331,"R",16589190,"R",106750,"R",76802,"R",1750878,"R",934965,"R",3500000,"R",6369395,"R",2240536,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"A",,"R",16785066,"R",16785066,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",553268,"R",3403,"R",556671,"R",17341737,"R",0,"R",0,"R",0,"R",0,"R",0,"R",17341737,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",14794038,"R",12466839,"R",0,"R",133397,"R",2193802,"R",0,"R",0,"R",14794038,"R",12466839,"R",0,"R",133397,"R",2193802,"R",0,"R",0,"R",17341737,"R",14794038,"R",2547699,"R",14041491,"R",0,"R",16589190,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,2 ,"A",,"A",
100751,"R",519983607,"R",1290466310,"R",1127070993,"R",2417537303,"R",2937520910,"R",19621650,"R",393754148,"R",413375798,"R",649706981,"R",25019657,"R",674726638,"R",1088102436,"R",671586724,"R",333221880,"R",313223393,"R",531386477,"R",1849418474,"R",69388284,"R",49551921,"R",1293471375,"R",242375686,"R",97613604,"R",1752400870,"R",502809981,"R",40875421,"R",0,"R",348544084,"R",40090456,"R",23642389,"R",2923953,"R",518818,"R",2405135,"R",140948823,"R",0,"R",11643489,"R",0,"R",44505964,"R",612299158,"R",0,"R",145951239,"R",0,"R",32699543,"R",0,"R",0,"R",50354337,"R",94052944,"R",8360724,"R",331418787,"R",943717945,"R",1040837,"R",52078458,"R",18209743,"R",7414988,"R",78744026,"R",1022461971,"R",299530031,"R",166490437,"R",59784636,"R",13317643,"R",30774738,"R",17251799,"R",11910778,"R",56290444,"R",19029059,"R",7662562,"R",4534233,"R",21688212,"R",3376378,"R",0,"R",46462515,"R",25156598,"R",7450593,"R",1460818,"R",9607620,"R",2786886,"R",0,"R",86874591,"R",46534885,"R",13360965,"R",8303145,"R",13464738,"R",5210858,"R",0,"R",49425958,"R",23665808,"R",6461660,"R",3103041,"R",13230812,"R",2964637,"R",0,"R",75401758,"R",38415959,"R",18348487,"R",3490734,"R",9781825,"R",4468970,"R",895783,"R",0,"R",0,"R",0,"R",0,"R",36059528,"R",-36059528,"R",0,"R",19454077,"R",19454077,"R",156658701,"R",42133092,"R",11123648,"R",14301310,"R",67753744,"R",0,"R",21346907,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",790098075,"R",361425838,"R",124192551,"R",48510924,"R",221815294,"R",0,"R",34153468,"R",1022461971,"R",790098075,"R",232363896,"R",1617054578,"R",0,"R",1849418474,"R",24787608,"R",3514561,"R",561738,"R",0,"R",14345092,"R",90098667,"R",133307666,"R",105643511,"R",8210078,"R",113853589,"R",19454077,1 ,"R",616925376,"R",673605620
100760,"R",15100215,"R",18282819,"R",3618785,"R",21901604,"R",37001819,"R",0,"R",7145356,"R",7145356,"R",10225000,"R",518626,"R",10743626,"R",17888982,"R",21901604,"R",345218,"R",500,"R",-3134485,"R",19112837,"R",1699274,"R",2217190,"R",26318896,"R",5654439,"R",1919511,"R",37809310,"R",16988309,"R",0,"R",1080602,"R",3587662,"R",1832780,"R",1028043,"R",24120,"R",24120,"R",0,"R",0,"A",,"R",1410,"A",,"R",0,"R",6474015,"R",0,"R",8103589,"R",0,"R",13886903,"R",295991,"R",0,"R",0,"R",10773,"R",52798,"R",22350054,"R",28824069,"R",0,"Z",0,"R",0,"R",0,"R",0,"R",28824069,"R",13087590,"R",5823704,"R",1526582,"R",517578,"R",4613262,"R",606464,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1752037,"R",165886,"R",63327,"Z",0,"R",1461412,"R",61412,"Z",0,"R",2439800,"R",467475,"R",147822,"Z",0,"R",1571500,"R",253003,"Z",0,"R",3662182,"R",1197939,"R",420925,"Z",0,"R",1672868,"R",370450,"Z",0,"R",2572674,"R",1330728,"R",470580,"Z",0,"R",477895,"R",293471,"Z",0,"R",0,"R",372697,"R",153534,"R",776368,"R",282201,"R",-1584800,"Z",0,"R",10932482,"R",10932482,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",939450,"R",0,"R",0,"R",0,"R",939450,"R",0,"Z",0,"R",35386215,"R",9358429,"R",2782770,"R",1293946,"R",21951070,"R",0,"Z",0,"R",28824069,"R",35386215,"R",-6562146,"R",25674983,"R",0,"R",19112837,"R",13886903,"R",0,"Z",0,"R",0,"R",0,"R",849051,"R",14735954,"R",3803472,"R",0,"R",3803472,"R",10932482,1 ,"R",349022,"R",345218
100812,"R",15746145,"R",33633988,"R",5383341,"R",39017329,"R",54763474,"R",611462,"R",5816994,"R",6428456,"R",15210419,"R",734627,"R",15945046,"R",22373502,"R",17812106,"R",6328783,"R",0,"R",8249083,"R",32389972,"R",2291056,"R",1228005,"R",26472675,"R",3810914,"R",12402752,"R",46205402,"R",12571413,"R",0,"R",0,"R",13311157,"R",695801,"R",1835160,"R",277500,"R",277500,"R",0,"R",370542,"R",0,"R",0,"R",0,"R",10129,"R",16500289,"R",0,"R",11523918,"R",0,"R",5897082,"R",0,"R",0,"R",500,"R",265803,"R",319342,"R",18006645,"R",34506934,"R",0,"R",0,"R",0,"R",0,"R",0,"R",34506934,"R",16130637,"R",10191431,"R",2682881,"R",403267,"R",940360,"R",1454673,"R",458025,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2938430,"R",1488167,"R",491632,"R",64811,"R",660033,"R",233787,"Z",0,"R",2681277,"R",1683220,"R",534772,"R",79213,"R",98332,"R",285740,"Z",0,"R",5165118,"R",2240700,"R",721050,"R",172829,"R",1407107,"R",623432,"Z",0,"R",0,"R",1276364,"R",486049,"Z",0,"R",835219,"R",-2597632,"Z",0,"R",4153166,"R",4153166,"R",424754,"R",161879,"R",50490,"Z",0,"R",212385,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",971195,"R",0,"R",0,"R",0,"R",971195,"R",0,"R",0,"R",32464577,"R",17041761,"R",4966874,"R",720120,"R",9277797,"R",0,"R",458025,"R",34506934,"R",32464577,"R",2042357,"R",30351763,"R",-4148,"R",32389972,"R",5897082,"R",275228,"R",88440,"R",0,"R",0,"R",896178,"R",7156928,"R",3003762,"R",0,"R",3003762,"R",4153166,1 ,"R",1997418,"R",2213720
100830,"R",19423505,"R",76923425,"R",74330935,"R",151254360,"R",170677865,"R",305000,"R",21559615,"R",21864615,"R",790000,"R",92024398,"R",92814398,"R",114679013,"R",14338490,"R",27275548,"R",5079843,"R",9304971,"R",55998852,"R",7227578,"R",4567435,"R",81115178,"R",32102733,"R",8313429,"R",133326353,"R",59056635,"Z",0,"Z",0,"R",29308236,"R",2900747,"R",10016639,"R",5666,"R",5156,"R",510,"R",5876072,"Z",0,"Z",0,"Z",0,"R",3472787,"R",51580147,"R",0,"R",22863408,"Z",0,"R",7298811,"Z",0,"Z",0,"R",479950,"R",1733819,"R",0,"R",32375988,"R",83956135,"R",0,"R",5520,"R",51530,"R",0,"R",57050,"R",84013185,"R",26684980,"R",19322580,"R",5237846,"R",527820,"R",110172,"R",1486562,"Z",0,"R",495817,"R",255187,"R",62493,"Z",0,"R",158909,"R",19228,"Z",0,"R",16683883,"R",5153439,"R",1282596,"R",138643,"R",9719653,"R",389552,"Z",0,"R",3788375,"R",2292806,"R",624861,"R",351499,"R",342612,"R",176597,"Z",0,"R",5814182,"R",3366100,"R",852364,"R",128657,"R",1211731,"R",255330,"Z",0,"R",12174500,"R",5680328,"R",1275283,"R",351499,"R",4446390,"R",421000,"Z",0,"R",0,"R",809903,"R",192532,"Z",0,"R",3989752,"R",-4992187,"Z",0,"R",3369498,"R",3369498,"R",6381000,"R",736522,"R",163700,"R",1679489,"R",2042864,"R",54487,"R",1703938,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",7086832,"R",1232698,"R",486412,"R",264857,"R",2913434,"R",2189431,"R",0,"R",82479067,"R",38849563,"R",10178087,"R",3442464,"R",28305015,"R",0,"R",1703938,"R",84013185,"R",82479067,"R",1534118,"R",53801659,"R",663075,"R",55998852,"R",7298811,"R",142107,"R",93369,"Z",0,"R",603435,"R",5060789,"R",13198511,"R",9059775,"R",769238,"R",9829013,"R",3369498,1 ,"R",36107626,"R",39855526
100858,"R",263175088,"R",1118423006,"R",1192923410,"R",2311346416,"R",2574521504,"R",20740075,"R",272787664,"R",293527739,"R",749681264,"R",64447799,"R",814129063,"R",1107656802,"R",724248152,"R",153582226,"R",20897433,"R",568136891,"R",1466864702,"R",100405677,"R",188529212,"R",1183209941,"R",368611874,"R",174825624,"R",2015582328,"R",697467540,"Z",0,"R",2049790,"R",293827903,"R",91439406,"R",6312292,"R",13819231,"R",2740192,"R",11079039,"R",95661278,"Z",0,"R",34587693,"Z",0,"R",15214147,"R",550861950,"Z",0,"R",224952740,"Z",0,"R",14321518,"Z",0,"Z",0,"R",36123742,"R",26626003,"R",0,"R",302024003,"R",852885953,"R",1801433,"R",15387683,"R",518337,"R",0,"R",17707453,"R",870593406,"R",264300490,"R",146190267,"R",45188176,"R",19752258,"R",30037671,"R",20436306,"R",2695812,"R",130516410,"R",52000283,"R",21838929,"R",9754026,"R",38048447,"R",7840467,"R",1034258,"R",101360530,"R",41449765,"R",14989956,"R",7575088,"R",35447701,"R",1676825,"R",221195,"R",55487119,"R",28285750,"R",8008962,"R",4146780,"R",6007791,"R",7984569,"R",1053267,"R",23608397,"R",10493533,"R",2473086,"R",1764352,"R",6111951,"R",2443187,"R",322288,"R",65981437,"R",44144700,"R",11486746,"R",4931063,"R",3387453,"R",1794727,"R",236748,"R",0,"R",19652795,"R",5684024,"Z",0,"R",40164161,"R",-65500980,"Z",0,"R",13128253,"R",13128253,"R",130301574,"R",30426924,"R",7891092,"R",9737970,"R",55843835,"R",23324899,"R",3076854,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",784684210,"R",372644017,"R",117560971,"R",57661537,"R",228177263,"R",0,"R",8640422,"R",870593406,"R",784684210,"R",85909196,"R",1381618581,"R",-663075,"R",1466864702,"R",14321518,"R",532286,"R",0,"Z",0,"R",20899993,"R",53056211,"R",88810008,"R",71353534,"R",4328221,"R",75681755,"R",13128253,1 ,"R",412740663,"R",458906091
