UNITID,XF1A01,F1A01,XF1A31,F1A31,XF1A04,F1A04,XF1A05,F1A05,XF1A06,F1A06,XF1A07,F1A07,XF1A08,F1A08,XF1A09,F1A09,XF1A10,F1A10,XF1A11,F1A11,XF1A12,F1A12,XF1A13,F1A13,XF1A14,F1A14,XF1A15,F1A15,XF1A16,F1A16,XF1A17,F1A17,XF1A18,F1A18,XF1A214,F1A214,XF1A224,F1A224,XF1A234,F1A234,XF1A324,F1A324,XF1A274,F1A274,XF1A27T4,F1A27T4,XF1A284,F1A284,XF1A334,F1A334,XF1A344,F1A344,XF1B01,F1B01,XF1B02,F1B02,XF1B03,F1B03,XF1B04,F1B04,XF1B04A,F1B04A,XF1B04B,F1B04B,XF1B05,F1B05,XF1B06,F1B06,XF1B26,F1B26,XF1B07,F1B07,XF1B08,F1B08,XF1B09,F1B09,XF1B10,F1B10,XF1B11,F1B11,XF1B12,F1B12,XF1B13,F1B13,XF1B14,F1B14,XF1B15,F1B15,XF1B16,F1B16,XF1B17,F1B17,XF1B18,F1B18,XF1B19,F1B19,XF1B27,F1B27,XF1B20,F1B20,XF1B21,F1B21,XF1B22,F1B22,XF1B23,F1B23,XF1B24,F1B24,XF1B25,F1B25,XF1C011,F1C011,XF1C012,F1C012,XF1C013,F1C013,XF1C016,F1C016,XF1C014,F1C014,XF1C017,F1C017,XF1C015,F1C015,XF1C021,F1C021,XF1C022,F1C022,XF1C023,F1C023,XF1C026,F1C026,XF1C024,F1C024,XF1C027,F1C027,XF1C025,F1C025,XF1C031,F1C031,XF1C032,F1C032,XF1C033,F1C033,XF1C036,F1C036,XF1C034,F1C034,XF1C037,F1C037,XF1C035,F1C035,XF1C051,F1C051,XF1C052,F1C052,XF1C053,F1C053,XF1C056,F1C056,XF1C054,F1C054,XF1C057,F1C057,XF1C055,F1C055,XF1C061,F1C061,XF1C062,F1C062,XF1C063,F1C063,XF1C066,F1C066,XF1C064,F1C064,XF1C067,F1C067,XF1C065,F1C065,XF1C071,F1C071,XF1C072,F1C072,XF1C073,F1C073,XF1C076,F1C076,XF1C074,F1C074,XF1C077,F1C077,XF1C075,F1C075,XF1C081,F1C081,XF1C082,F1C082,XF1C083,F1C083,XF1C086,F1C086,XF1C084,F1C084,XF1C087,F1C087,XF1C085,F1C085,XF1C101,F1C101,XF1C105,F1C105,XF1C111,F1C111,XF1C112,F1C112,XF1C113,F1C113,XF1C116,F1C116,XF1C114,F1C114,XF1C117,F1C117,XF1C115,F1C115,XF1C121,F1C121,XF1C122,F1C122,XF1C123,F1C123,XF1C126,F1C126,XF1C124,F1C124,XF1C127,F1C127,XF1C125,F1C125,XF1C131,F1C131,XF1C132,F1C132,XF1C133,F1C133,XF1C136,F1C136,XF1C134,F1C134,XF1C137,F1C137,XF1C135,F1C135,XF1C141,F1C141,XF1C142,F1C142,XF1C143,F1C143,XF1C146,F1C146,XF1C144,F1C144,XF1C147,F1C147,XF1C145,F1C145,XF1C191,F1C191,XF1C192,F1C192,XF1C193,F1C193,XF1C196,F1C196,XF1C194,F1C194,XF1C197,F1C197,XF1C195,F1C195,XF1D01,F1D01,XF1D02,F1D02,XF1D03,F1D03,XF1D04,F1D04,XF1D05,F1D05,XF1D06,F1D06,XF1E01,F1E01,XF1E02,F1E02,XF1E03,F1E03,XF1E04,F1E04,XF1E05,F1E05,XF1E06,F1E06,XF1E07,F1E07,XF1E08,F1E08,XF1E09,F1E09,XF1E10,F1E10,XF1E11,F1E11,F1FHA,XF1H01,F1H01,XF1H02,F1H02   
100654,"R",76015628,"R",103355825,"R",3979751,"R",107335576,"R",183351204,"R",3420000,"R",52416654,"R",55836654,"R",46351285,"R",0,"R",46351285,"R",102187939,"R",52646385,"R",17608547,"R",0,"R",10908333,"R",81163265,"R",5433401,"R",0,"R",167967118,"R",31252528,"R",523932,"R",205176979,"R",106426528,"R",0,"R",4605374,"R",41658358,"R",25475713,"R",841991,"R",793906,"R",0,"R",793906,"R",12229596,"R",0,"R",2005241,"R",0,"R",575132,"R",83579937,"R",2335492,"R",39882136,"R",0,"R",14316104,"R",0,"R",0,"R",0,"R",12275,"R",4270115,"R",60816122,"R",144396059,"R",0,"R",0,"R",0,"R",0,"R",0,"R",144396059,"R",32866009,"R",20031585,"R",5580723,"R",3450301,"R",1090113,"R",661459,"R",2051828,"R",10062461,"R",3596420,"R",786610,"R",1056366,"R",333756,"R",202517,"R",4086792,"R",17180610,"R",7896369,"R",2486255,"R",1803635,"R",569854,"R",345776,"R",4078721,"R",6312707,"R",3056118,"R",865631,"R",662713,"R",209382,"R",127049,"R",1391814,"R",16606235,"R",6404621,"R",1913271,"R",1743337,"R",550802,"R",334216,"R",5659988,"R",26597673,"R",9872408,"R",3288430,"R",2792246,"R",882203,"R",535303,"R",9227083,"R",0,"R",0,"R",0,"R",-12728846,"R",0,"R",0,"R",12728846,"R",6830726,"R",6830726,"R",11623535,"R",1119858,"R",310945,"R",1220248,"R",385534,"R",233935,"R",8353015,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",7039622,"R",255624,"R",73928,"R",0,"R",0,"R",0,"R",6710070,"R",135119578,"R",52233003,"R",15305793,"R",0,"R",4021644,"R",2440255,"R",61118883,"R",144396059,"R",135119578,"R",9276481,"R",74307039,"R",-2420255,"R",81163265,"R",14316104,"R",1776313,"R",0,"R",0,"R",0,"R",218186,"R",16310603,"R",9479877,"R",0,"R",9479877,"R",6830726,2 ,"A",,"A",
100663,"R",986869452,"R",1528859400,"R",1326670301,"R",2855529701,"R",3842399153,"R",31976488,"R",335621576,"R",367598064,"R",907466173,"R",28451634,"R",935917807,"R",1303515871,"R",688894611,"R",238570638,"R",297200148,"R",1314217885,"R",2538883282,"R",122716046,"R",94056840,"R",2174203276,"R",817487778,"R",58088517,"R",3266552457,"R",1737693059,"R",0,"R",0,"R",161726991,"R",315934331,"R",7678988,"R",47757420,"R",910231,"R",46847189,"R",31380641,"R",1378598120,"R",59147027,"R",0,"R",51143253,"R",2053366771,"R",0,"R",264072721,"R",0,"R",26767145,"R",96551,"R",0,"R",43981418,"R",84090572,"R",2414822,"R",421423229,"R",2474790000,"R",30754632,"R",8293498,"R",17026885,"R",0,"R",56075015,"R",2530865015,"R",292770772,"R",182822837,"R",51133705,"R",16222524,"R",13765862,"R",1191887,"R",27633957,"R",258978501,"R",117202385,"R",34442527,"R",10212367,"R",12738059,"R",753654,"R",83629509,"R",131804129,"R",57368006,"R",17165046,"R",10633089,"R",12668265,"R",422309,"R",33547414,"R",179483615,"R",103416412,"R",30589599,"R",4687398,"R",9443441,"R",436393,"R",30910372,"R",35173214,"R",13843893,"R",4125412,"R",1726409,"R",1797630,"R",616260,"R",13063610,"R",140403486,"R",46737068,"R",34360561,"R",7653053,"R",3885538,"R",834699,"R",46932567,"R",0,"R",19809759,"R",6668127,"R",-78830719,"R",6972218,"R",2772037,"R",42608578,"R",21013152,"R",21013152,"R",62426979,"R",15822407,"R",5136194,"R",6532594,"R",8200105,"R",2645221,"R",24090458,"R",1297096317,"R",477812157,"R",137127692,"R",21163285,"R",59496097,"R",19778810,"R",581718276,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2419150165,"R",1034834924,"R",320748863,"R",0,"R",128967215,"R",29451270,"R",905147893,"R",2530865015,"R",2419150165,"R",111714850,"R",2413299510,"R",13868922,"R",2538883282,"R",17539067,"R",12656531,"R",290487,"R",0,"R",8705205,"R",36781436,"R",75972726,"R",51781171,"R",3178403,"R",54959574,"R",21013152,1 ,"R",392284979,"R",424547661
100706,"R",145140584,"R",231176917,"R",83482122,"R",314659039,"R",459799623,"R",4698600,"R",55488422,"R",60187022,"R",103084078,"R",0,"R",103084078,"R",163271100,"R",128446531,"R",9951078,"R",9368566,"R",148762348,"R",296528523,"R",24357334,"R",0,"R",311184723,"R",89090631,"R",22717118,"R",447349806,"R",210396089,"R",2939750,"R",0,"R",53469001,"R",78709051,"R",9150735,"R",1976343,"R",0,"R",1976343,"R",6686732,"R",0,"R",3678370,"R",0,"R",5,"R",153670237,"R",0,"R",43102390,"R",0,"R",7395098,"R",0,"R",0,"R",1655115,"R",6926302,"R",1193514,"R",60272419,"R",213942656,"R",0,"R",28000,"R",1517630,"R",0,"R",1545630,"R",215488286,"R",60958714,"R",36079255,"R",11854298,"R",3805210,"R",4225697,"R",649985,"R",4344269,"R",84899671,"R",48970008,"R",14337790,"R",5464984,"R",3000950,"R",192788,"R",12933151,"R",6240094,"R",2128126,"R",603394,"R",412162,"R",174901,"R",0,"R",2921511,"R",12520511,"R",6091175,"R",1814676,"R",791764,"R",785760,"R",78078,"R",2959058,"R",16782372,"R",6427408,"R",1976915,"R",1066580,"R",660674,"R",426403,"R",6224392,"R",21756390,"R",10531518,"R",3423856,"R",1404934,"R",1031438,"R",46146,"R",5318498,"R",0,"R",3971769,"R",1471928,"R",-13267826,"R",401529,"R",0,"R",7422600,"R",1101624,"R",1101624,"R",9579964,"R",1124313,"R",286131,"R",322192,"R",2777366,"R",2061365,"R",3008597,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",213839340,"R",115323572,"R",35768988,"R",0,"R",13058315,"R",3454765,"R",46233700,"R",215488286,"R",213839340,"R",1648946,"R",294879582,"R",-5,"R",296528523,"R",7395098,"R",124697,"R",40648,"R",0,"R",2914422,"R",10942577,"R",21417442,"R",19244242,"R",1071576,"R",20315818,"R",1101624,1 ,"R",69929806,"R",74366851
100724,"R",50566081,"R",308171361,"R",8883722,"R",317055083,"R",367621164,"R",6600115,"R",31286185,"R",37886300,"R",219847811,"R",5487548,"R",225335359,"R",263221659,"R",91036409,"R",8186654,"R",250000,"R",4926442,"R",104399505,"R",21088976,"R",86498861,"R",270283601,"R",26844588,"R",3400121,"R",408116147,"R",111688805,"R",0,"R",11744019,"R",44919305,"R",10136506,"R",4870993,"R",2278784,"R",0,"R",2278784,"R",6593661,"R",0,"R",0,"R",0,"R",13244401,"R",82043650,"Z",0,"R",43324608,"R",0,"R",17697030,"R",0,"R",0,"R",356024,"R",1368717,"R",0,"R",62746379,"R",144790029,"R",671259,"R",0,"R",0,"R",0,"R",671259,"R",145461288,"R",44255029,"R",25131201,"R",5905349,"R",4902572,"R",3767061,"R",3387185,"R",1161661,"R",2641216,"R",647737,"R",122326,"R",292594,"R",224825,"R",202153,"R",1151581,"R",8233350,"R",1081175,"R",273184,"R",912091,"R",700836,"R",630163,"R",4635901,"R",12998664,"R",4332911,"R",1019737,"R",1439992,"R",1106467,"R",994890,"R",4104667,"R",18746746,"R",7188921,"R",1796327,"R",2076765,"R",1595754,"R",1434836,"R",4654143,"R",37623599,"R",11936269,"R",4145133,"R",4167943,"R",3202583,"R",2879630,"R",11292041,"R",0,"R",4121547,"R",1366972,"R",-15100607,"R",0,"R",0,"R",9612088,"R",20806712,"R",20806712,"R",11813054,"R",2113897,"R",663936,"R",1308650,"R",1005547,"R",904146,"R",5816878,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",157118370,"R",56553658,"R",15292964,"R",0,"R",11603073,"R",10433003,"R",63235672,"R",145461288,"R",157118370,"R",-11657082,"R",125407828,"R",-9351241,"R",104399505,"R",17697030,"R",299073,"R",10000,"R",0,"R",2800609,"R",15747501,"R",36554213,"R",8661126,"R",7086375,"R",15747501,"R",20806712,1 ,"R",73546541,"R",86468050
100733,"R",5855235,"R",13747845,"R",6577006,"R",20324851,"R",26180086,"R",500000,"R",2883328,"R",3383328,"R",1500000,"R",0,"R",1500000,"R",4883328,"R",11747845,"R",0,"R",0,"R",9548913,"R",21296758,"R",106750,"R",76802,"R",14846134,"R",1097003,"R",0,"R",16126689,"R",2378844,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"A",,"Z",0,"A",,"R",19145087,"R",19145087,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",203844,"R",1577,"R",205421,"R",19350508,"R",0,"R",0,"R",0,"R",0,"R",0,"R",19350508,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"A",,"A",,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",16542495,"R",10300000,"R",3247915,"Z",0,"R",115483,"R",0,"R",2879097,"R",16542495,"R",10300000,"R",3247915,"R",0,"R",115483,"R",0,"R",2879097,"R",19350508,"R",16542495,"R",2808013,"R",18488745,"R",0,"R",21296758,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,2 ,"A",,"A",
100751,"R",550032993,"R",1655111628,"R",1305456780,"R",2960568408,"R",3510601401,"R",22047751,"R",405319339,"R",427367090,"R",928084715,"R",23008243,"R",951092958,"R",1378460048,"R",862965092,"R",344919026,"R",368301686,"R",555955549,"R",2132141353,"R",134739345,"R",59957261,"R",1678011559,"R",278333805,"R",53264646,"R",2204306616,"R",588329443,"R",39134455,"R",0,"R",419482065,"R",36527231,"R",26112621,"R",7621902,"R",957654,"R",6664248,"R",148640394,"R",0,"R",11299340,"R",0,"R",61166131,"R",710849684,"R",0,"R",144234844,"R",0,"R",33838399,"R",0,"R",0,"R",56587991,"R",57911278,"R",618844,"R",293191356,"R",1004041040,"R",203976,"R",5305187,"R",14385976,"R",903955,"R",20799094,"R",1024840134,"R",335800649,"R",186363124,"R",71163372,"R",18995680,"R",14405468,"R",8799868,"R",36073137,"R",54284301,"R",21385318,"R",7349759,"R",3153409,"R",4572598,"Z",0,"R",17823217,"R",51563581,"R",27650213,"R",8086847,"R",2995361,"R",1412621,"Z",0,"R",11418539,"R",81755647,"R",45356991,"R",13347333,"R",4749237,"R",11823708,"Z",0,"R",6478378,"R",56784308,"R",27212862,"R",7529358,"R",3298636,"R",3239736,"Z",0,"R",15503716,"R",96040359,"R",43920221,"R",22645711,"R",5260775,"R",3749210,"R",5478851,"R",14985591,"R",0,"Z",0,"Z",0,"R",-38453098,"Z",0,"Z",0,"R",38453098,"R",21221373,"R",21221373,"R",173341975,"R",48280050,"R",13035486,"Z",0,"R",15601813,"R",21718084,"R",74706542,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",837766,"R",0,"R",0,"R",0,"R",0,"R",0,"R",837766,"R",871629959,"R",400168779,"R",143157866,"R",0,"R",54805154,"R",35996803,"R",237501357,"R",1024840134,"R",871629959,"R",153210175,"R",1978931178,"R",0,"R",2132141353,"R",26082224,"R",2802441,"R",423587,"R",0,"R",13864748,"R",141278896,"R",184451896,"R",152538453,"R",10692070,"R",163230523,"R",21221373,1 ,"R",617611309,"R",667980131
100760,"R",9772403,"R",24242516,"R",150065,"R",24392581,"R",34164984,"R",332460,"R",3176108,"R",3508568,"R",9020844,"R",408106,"R",9428950,"R",12937518,"R",15329888,"R",563832,"R",500,"R",5333246,"R",21227466,"R",1699274,"R",2243471,"R",32398945,"R",7002408,"R",13024,"R",43357122,"R",20195208,"R",0,"R",1080602,"R",2902432,"R",2566470,"R",876494,"R",6500,"R",0,"R",6500,"R",0,"A",,"R",833,"A",,"R",90458,"R",6443187,"R",0,"R",8184466,"R",0,"R",5005503,"R",0,"R",0,"R",0,"R",2894,"R",363682,"R",13556545,"R",19999732,"R",0,"R",0,"R",0,"R",0,"R",0,"R",19999732,"R",9462918,"R",5176887,"R",1450993,"R",861579,"R",748560,"R",191433,"R",1033466,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",385352,"R",164558,"R",63838,"R",35085,"R",30483,"R",7796,"R",83592,"R",2403037,"R",300393,"R",85236,"R",218792,"R",190091,"R",48613,"R",1559912,"R",2354635,"R",1133007,"R",379089,"R",214385,"R",186262,"R",47634,"R",394258,"R",5299651,"R",1936206,"R",590600,"R",482522,"R",419226,"R",107211,"R",1763886,"R",0,"R",362856,"R",155218,"R",-1812363,"R",0,"R",0,"R",1294289,"R",3069788,"R",3069788,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",22975381,"R",9073907,"R",2724974,"R",0,"R",1574622,"R",402687,"R",9199191,"R",19999732,"R",22975381,"R",-2975649,"R",23800428,"R",402687,"R",21227466,"R",5005503,"R",0,"R",193993,"R",0,"R",0,"R",1392184,"R",6591680,"R",3521892,"R",0,"R",3521892,"R",3069788,1 ,"R",340265,"R",338983
100812,"R",17826616,"R",38518398,"R",0,"R",38518398,"R",56345014,"R",570000,"R",6537247,"R",7107247,"R",12490000,"R",960287,"R",13450287,"R",20557534,"R",25458398,"R",306860,"Z",0,"R",10022222,"R",35787480,"R",2569856,"R",1299966,"R",38470970,"R",4024726,"R",6279580,"R",52645098,"R",14126700,"Z",0,"Z",0,"R",14012472,"R",503109,"R",2179821,"R",50000,"R",50000,"Z",0,"R",417002,"Z",0,"R",10619,"Z",0,"R",0,"R",17173023,"R",0,"R",11464712,"Z",0,"R",5290802,"Z",0,"Z",0,"R",0,"R",292901,"R",392197,"R",17440612,"R",34613635,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",34613635,"R",16494671,"R",9789339,"R",2794031,"R",1834211,"R",504451,"R",373139,"R",1199500,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3398395,"R",1833334,"R",532675,"R",294784,"R",81073,"Z",0,"R",656529,"R",2806814,"R",1628066,"R",559409,"R",360291,"R",99089,"Z",0,"R",159959,"R",5457901,"R",2133291,"R",743554,"R",786090,"R",216193,"Z",0,"R",1578773,"R",0,"R",1525599,"R",606575,"R",-3275376,"Z",0,"Z",0,"R",1143202,"R",3659366,"R",3659366,"R",432837,"R",162537,"R",56955,"Z",0,"Z",0,"Z",0,"R",213345,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",124512,"R",0,"R",0,"R",0,"R",0,"R",0,"R",124512,"R",32374496,"R",17072166,"R",5293199,"R",0,"R",900806,"R",373139,"R",8735186,"R",34613635,"R",32374496,"R",2239139,"R",33548341,"R",0,"R",35787480,"R",5290802,"R",208206,"R",30722,"Z",0,"Z",0,"R",1099517,"R",6629247,"R",2969881,"Z",0,"R",2969881,"R",3659366,1 ,"R",2365949,"R",2777919
100830,"R",11659457,"R",97127433,"R",47487612,"R",144615045,"R",156274502,"R",327651,"R",21148810,"R",21476461,"R",540000,"R",85720667,"R",86260667,"R",107737128,"R",12500626,"R",25821835,"R",5143372,"R",5071541,"R",48537374,"R",10770557,"R",5912681,"R",114136132,"R",33281184,"R",441422,"R",164541976,"R",67414544,"Z",0,"Z",0,"R",33065804,"R",2149692,"R",6460315,"R",66982,"R",66104,"R",878,"R",7883759,"Z",0,"Z",0,"Z",0,"R",4415875,"R",54042427,"Z",0,"R",22557727,"Z",0,"R",8005304,"Z",0,"Z",0,"R",838122,"R",1626894,"R",0,"R",33028047,"R",87070474,"R",0,"R",7858,"R",26109,"R",0,"R",33967,"R",87104441,"R",28012328,"R",20280987,"R",5614737,"R",1600276,"R",495052,"Z",0,"R",21276,"R",442485,"R",175336,"R",42492,"R",15495,"R",0,"Z",0,"R",209162,"R",12065216,"R",5025606,"R",1479111,"R",462702,"R",138206,"Z",0,"R",4959591,"R",4252877,"R",2790048,"R",813521,"R",256334,"R",320616,"Z",0,"R",72358,"R",6119703,"R",3697829,"R",1031513,"R",336414,"R",113944,"Z",0,"R",940003,"R",11527942,"R",5544515,"R",1682135,"R",514056,"R",320616,"Z",0,"R",3466620,"R",0,"R",339120,"R",96464,"R",-6117043,"Z",0,"Z",0,"R",5681459,"R",3542852,"R",3542852,"R",7204865,"R",1124998,"R",228437,"R",96274,"R",3004909,"R",2360670,"R",389577,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",12825724,"R",1133475,"R",702271,"R",2835492,"R",419131,"R",0,"R",7735355,"R",85993992,"R",40111914,"R",11690681,"R",0,"R",4812474,"R",2360670,"R",27018253,"R",87104441,"R",85993992,"R",1110449,"R",49787595,"R",-2360670,"R",48537374,"R",8005304,"R",143910,"R",54892,"Z",0,"R",512505,"R",6549599,"R",15266210,"R",10500313,"R",1223045,"R",11723358,"R",3542852,1 ,"R",43933312,"R",47424072
100858,"R",306426814,"R",1405463164,"R",976587497,"R",2382050661,"R",2688477475,"R",28490201,"R",286486012,"R",314976213,"R",715648582,"R",64235619,"R",779884201,"R",1094860414,"R",809019729,"R",136344045,"R",23033149,"R",625220138,"R",1593617061,"R",117049532,"R",213015773,"R",1517948202,"R",391546958,"R",18275088,"R",2257835553,"R",807061761,"Z",0,"R",2243175,"R",332881008,"R",76219101,"R",6872332,"R",16892238,"R",2693237,"R",14199001,"R",115517549,"Z",0,"R",39451655,"Z",0,"R",22032842,"R",609866725,"Z",0,"R",220424304,"Z",0,"R",14032340,"Z",0,"Z",0,"R",35784224,"R",37216655,"R",0,"R",307457523,"R",917324248,"R",16585,"R",3722074,"R",453849,"R",0,"R",4192508,"R",921516756,"R",275621807,"R",148024945,"R",48378640,"R",20053455,"R",22021272,"R",3630880,"R",33512615,"R",130397415,"R",53595099,"R",23680452,"R",8903821,"R",10418323,"R",1612126,"R",32187594,"R",100226379,"R",40929857,"R",16045854,"R",1530908,"R",8007756,"R",277186,"R",33434818,"R",74346577,"R",35394036,"R",10565476,"R",9387646,"R",5940046,"R",1699728,"R",11359645,"R",31252089,"R",13333602,"R",3274064,"R",3971696,"R",2496939,"R",719116,"R",7456672,"R",66112020,"R",43325562,"R",11447556,"R",1538130,"R",5282132,"R",278494,"R",4240146,"R",0,"R",20571277,"R",6305729,"R",-72212658,"Z",0,"Z",0,"R",45335652,"R",17006440,"R",17006440,"R",160415545,"R",41322734,"R",10245376,"R",26827002,"R",12816672,"R",4857299,"R",64346462,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1,"R",855378273,"R",396497112,"R",129943147,"R",0,"R",66983140,"R",13074829,"R",248880045,"R",921516756,"R",855378273,"R",66138483,"R",1527478578,"R",0,"R",1593617061,"R",14032340,"R",623096,"R",0,"Z",0,"R",23852573,"R",81534407,"R",120042416,"R",96362204,"R",6673772,"R",103035976,"R",17006440,1 ,"R",526128048,"R",593270763
