UNITID,XF1A01,F1A01,XF1A31,F1A31,XF1A04,F1A04,XF1A05,F1A05,XF1A06,F1A06,XF1A07,F1A07,XF1A08,F1A08,XF1A09,F1A09,XF1A10,F1A10,XF1A11,F1A11,XF1A12,F1A12,XF1A13,F1A13,XF1A14,F1A14,XF1A15,F1A15,XF1A16,F1A16,XF1A17,F1A17,XF1A18,F1A18,XF1A214,F1A214,XF1A224,F1A224,XF1A234,F1A234,XF1A324,F1A324,XF1A274,F1A274,XF1A27T4,F1A27T4,XF1A284,F1A284,XF1A334,F1A334,XF1A344,F1A344,XF1B01,F1B01,XF1B02,F1B02,XF1B03,F1B03,XF1B04,F1B04,XF1B04A,F1B04A,XF1B04B,F1B04B,XF1B05,F1B05,XF1B06,F1B06,XF1B26,F1B26,XF1B07,F1B07,XF1B08,F1B08,XF1B09,F1B09,XF1B10,F1B10,XF1B11,F1B11,XF1B12,F1B12,XF1B13,F1B13,XF1B14,F1B14,XF1B15,F1B15,XF1B16,F1B16,XF1B17,F1B17,XF1B18,F1B18,XF1B19,F1B19,XF1B27,F1B27,XF1B20,F1B20,XF1B21,F1B21,XF1B22,F1B22,XF1B23,F1B23,XF1B24,F1B24,XF1B25,F1B25,XF1C011,F1C011,XF1C012,F1C012,XF1C013,F1C013,XF1C014,F1C014,XF1C015,F1C015,XF1C016,F1C016,XF1C017,F1C017,XF1C021,F1C021,XF1C022,F1C022,XF1C023,F1C023,XF1C024,F1C024,XF1C025,F1C025,XF1C026,F1C026,XF1C027,F1C027,XF1C031,F1C031,XF1C032,F1C032,XF1C033,F1C033,XF1C034,F1C034,XF1C035,F1C035,XF1C036,F1C036,XF1C037,F1C037,XF1C051,F1C051,XF1C052,F1C052,XF1C053,F1C053,XF1C054,F1C054,XF1C055,F1C055,XF1C056,F1C056,XF1C057,F1C057,XF1C061,F1C061,XF1C062,F1C062,XF1C063,F1C063,XF1C064,F1C064,XF1C065,F1C065,XF1C066,F1C066,XF1C067,F1C067,XF1C071,F1C071,XF1C072,F1C072,XF1C073,F1C073,XF1C074,F1C074,XF1C075,F1C075,XF1C076,F1C076,XF1C077,F1C077,XF1C081,F1C081,XF1C082,F1C082,XF1C083,F1C083,XF1C084,F1C084,XF1C085,F1C085,XF1C086,F1C086,XF1C087,F1C087,XF1C101,F1C101,XF1C105,F1C105,XF1C111,F1C111,XF1C112,F1C112,XF1C113,F1C113,XF1C114,F1C114,XF1C115,F1C115,XF1C116,F1C116,XF1C117,F1C117,XF1C121,F1C121,XF1C122,F1C122,XF1C123,F1C123,XF1C124,F1C124,XF1C125,F1C125,XF1C126,F1C126,XF1C127,F1C127,XF1C131,F1C131,XF1C132,F1C132,XF1C133,F1C133,XF1C134,F1C134,XF1C135,F1C135,XF1C136,F1C136,XF1C137,F1C137,XF1C141,F1C141,XF1C142,F1C142,XF1C143,F1C143,XF1C144,F1C144,XF1C145,F1C145,XF1C146,F1C146,XF1C147,F1C147,XF1C191,F1C191,XF1C192,F1C192,XF1C193,F1C193,XF1C194,F1C194,XF1C195,F1C195,XF1C196,F1C196,XF1C197,F1C197,F1MHP,XF1M01,F1M01,XF1M02,F1M02,XF1M03,F1M03,XF1M04,F1M04,XF1D01,F1D01,XF1D02,F1D02,XF1D03,F1D03,XF1D04,F1D04,XF1D05,F1D05,XF1D06,F1D06,XF1E01,F1E01,XF1E02,F1E02,XF1E03,F1E03,XF1E04,F1E04,XF1E05,F1E05,XF1E06,F1E06,XF1E07,F1E07,XF1E08,F1E08,XF1E09,F1E09,XF1E10,F1E10,XF1E11,F1E11,F1FHA,XF1H01,F1H01,XF1H02,F1H02   
100654,"R",78535712,"R",115726368,"R",13423,"R",115739791,"R",194275503,"R",1623631,"R",62725127,"R",64348758,"R",60180723,"R",65496062,"R",125676785,"R",190025543,"R",57082083,"R",639990,"R",0,"R",-53472113,"R",4249960,"R",5433401,"R",0,"R",182085609,"R",32276514,"R",2155618,"R",221951142,"R",110971528,"R",0,"R",4746754,"R",44478131,"R",24166519,"R",831411,"R",693319,"R",0,"R",693319,"R",13435517,"R",0,"R",2938358,"R",0,"R",203879,"R",86747134,"R",2561046,"R",40102843,"R",0,"R",15098992,"R",0,"R",0,"R",1901250,"R",8590,"R",9052307,"R",68725028,"R",155472162,"R",0,"R",0,"R",0,"R",0,"R",0,"R",155472162,"R",36577788,"R",21583177,"R",6893526,"R",2169522,"R",1517879,"R",3812817,"R",600867,"R",8695373,"R",3279788,"R",723458,"R",515745,"R",3127149,"R",906393,"R",142840,"R",18301686,"R",7852070,"R",2717021,"R",1085519,"R",4438690,"R",1907742,"R",300644,"R",7469575,"R",2907083,"R",926940,"R",443039,"R",2291192,"R",778618,"R",122703,"R",17112095,"R",6598294,"R",2238420,"R",1014962,"R",5195576,"R",1783741,"R",281102,"R",31906733,"R",10190948,"R",2905645,"R",1892470,"R",13067622,"R",3325913,"R",524135,"R",0,"R",336317,"R",124630,"R",0,"R",13382831,"R",-13843778,"R",0,"R",16282814,"R",16282814,"R",12745315,"R",1080568,"R",361251,"R",755957,"R",9009616,"R",1328554,"R",209369,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3143712,"R",0,"R",0,"R",0,"R",3143712,"R",0,"R",0,"R",152235091,"R",53828245,"R",16890891,"R",7877214,"R",71457081,"R",0,"R",2181660,1 ,"R",-362197,"R",-187000,"R",5098000,"R",5273197,"R",155472162,"R",152235091,"R",3237071,"R",-1248105,"R",2260994,"R",4249960,"R",14654328,"R",444664,"R",0,"R",0,"R",0,"R",12643661,"R",27742653,"R",11459839,"R",0,"R",11459839,"R",16282814,2 ,"A",,"A",
100663,"R",1204895492,"R",1538320981,"R",1211609121,"R",2749930102,"R",3954825594,"R",34097783,"R",470132852,"R",504230635,"R",874533980,"R",1135310397,"R",2009844377,"R",2514075012,"R",672801124,"R",276376346,"R",285271572,"R",206301540,"R",1440750582,"R",124681946,"R",95793928,"R",2260566455,"R",856868227,"R",52650696,"R",3390561252,"R",1852240271,"Z",0,"Z",0,"R",169724524,"R",332585972,"R",10314365,"R",55062949,"R",1517304,"R",53545645,"R",32830327,"R",1515127206,"R",60916483,"R",0,"R",54161197,"R",2230723023,"R",0,"R",265293488,"R",0,"R",28304839,"R",115969,"R",0,"R",54203316,"R",-65739227,"R",2249711,"R",284428096,"R",2515151119,"R",5292219,"R",4398406,"R",14930217,"R",0,"R",24620842,"R",2539771961,"R",290202160,"R",180183370,"R",45025271,"R",15119709,"R",32847200,"R",16197255,"R",829355,"R",263499157,"R",120073756,"R",31932761,"R",13164939,"R",87564449,"R",9974324,"R",788928,"R",153195970,"R",69420955,"R",18980304,"R",17124232,"R",34254836,"R",12639226,"R",776417,"R",174340904,"R",102293151,"R",27079153,"R",9185831,"R",30707906,"R",4714372,"R",360491,"R",36186665,"R",14600590,"R",3941101,"R",672666,"R",15835378,"R",1052421,"R",84509,"R",135140397,"R",48377746,"R",26794226,"R",4712097,"R",48970709,"R",4100046,"R",2185573,"R",0,"R",19345158,"R",6402686,"R",5778266,"R",38201544,"R",-73414789,"R",3687135,"R",21113044,"R",21113044,"R",64504845,"R",14933793,"R",4766261,"R",10338720,"R",25662952,"R",6225832,"R",2577287,"R",1370061457,"R",495332988,"R",134911959,"R",60018732,"R",641932017,"R",18511313,"R",19354448,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2508244599,"R",1064561507,"R",299833722,"R",136115192,"R",977090035,"R",0,"R",30644143,1 ,"R",-8383000,"R",1107275000,"R",113748000,"R",84999000,"R",2539771961,"R",2508244599,"R",31527362,"R",2538883282,"R",-1129660062,"R",1440750582,"R",17673156,"R",13492623,"R",266672,"R",9523,"R",8754552,"R",40149483,"R",80346009,"R",56356037,"R",2876928,"R",59232965,"R",21113044,1 ,"R",424547661,"R",405337027
100706,"R",142485951,"R",238301754,"R",79102169,"R",317403923,"R",459889874,"R",4870600,"R",68946069,"R",73816669,"R",98826636,"R",146366884,"R",245193520,"R",319010189,"R",139816373,"R",14017423,"R",9207315,"R",-22161426,"R",140879685,"R",26166891,"R",0,"R",338474152,"R",91544555,"R",10207442,"R",466393040,"R",221926488,"R",3006245,"R",0,"R",53743262,"R",68128682,"R",4689746,"R",2253842,"R",0,"R",2253842,"R",7466287,"R",0,"R",4159834,"R",0,"R",0,"R",140441653,"R",0,"R",43997235,"R",0,"R",7670824,"R",0,"R",0,"R",5930707,"R",-5556417,"R",132202,"R",52174551,"R",192616204,"R",0,"R",13582,"R",244782,"R",0,"R",258364,"R",192874568,"R",63998908,"R",36662366,"R",12552026,"R",5045902,"R",4903812,"R",4048144,"R",786658,"R",73230600,"R",44252654,"R",13374353,"R",3312926,"R",7239714,"R",4852794,"R",198159,"R",6389466,"R",2510856,"R",751985,"R",174535,"R",2519313,"R",432777,"R",0,"R",13017908,"R",6217682,"R",1958541,"R",801723,"R",3117452,"R",845298,"R",77212,"R",18648547,"R",6897875,"R",2332955,"R",692868,"R",6809078,"R",1200539,"R",715232,"R",23796728,"R",11181017,"R",4529793,"R",1186418,"R",5268637,"R",1569962,"R",60901,"R",0,"R",4223602,"R",1583000,"R",407505,"R",7087471,"R",-13301578,"R",0,"R",1128515,"R",1128515,"R",9986734,"R",1116876,"R",312352,"R",2818525,"R",3280958,"R",352064,"R",2105959,"R",0,"R",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",210197406,"R",113062928,"R",37395005,"R",14440402,"R",41354950,"R",0,"R",3944121,1 ,"R",1265000,"R",146248000,"R",10965000,"R",17639710,"R",192874568,"R",210197406,"R",-17322838,"R",296528523,"R",-138326000,"R",140879685,"R",7670824,"R",156759,"R",46522,"R",0,"R",3108986,"R",13952981,"R",24936072,"R",22515168,"R",1292389,"R",23807557,"R",1128515,1 ,"R",74366851,"R",70066677
100724,"R",46020331,"R",298868078,"R",16636357,"R",315504435,"R",361524766,"R",6789559,"R",33059641,"R",39849200,"R",213075250,"R",84832793,"R",297908043,"R",337757243,"R",83164399,"R",8308498,"R",250000,"R",-67955374,"R",23767523,"R",21152897,"R",86942823,"R",273711371,"R",27448077,"R",584262,"R",409839430,"R",122715371,"R",0,"R",11744019,"R",42073093,"R",9088452,"R",4371313,"R",2426675,"R",0,"R",2426675,"R",7588903,"R",0,"R",0,"R",0,"R",9499380,"R",75047816,"R",0,"R",41880782,"R",0,"R",16340329,"R",0,"R",0,"R",372863,"R",-160520,"R",0,"R",58433454,"R",133481270,"R",47886,"R",0,"R",0,"R",0,"R",47886,"R",133529156,"R",42207002,"R",23987397,"R",5673019,"R",3808624,"R",734471,"R",4513302,"R",3490189,"R",2783180,"R",740751,"R",130038,"R",251145,"R",1133488,"R",297611,"R",230147,"R",6285831,"R",834796,"R",241574,"R",567213,"R",3450298,"R",672161,"R",519789,"R",12502469,"R",4480318,"R",1022720,"R",1128182,"R",3500471,"R",1336922,"R",1033856,"R",17115864,"R",7308669,"R",1812894,"R",1544481,"R",3204229,"R",1830243,"R",1415348,"R",32484351,"R",9794792,"R",3509087,"R",2931283,"R",10089350,"R",3473637,"R",2686202,"R",0,"R",4380641,"R",1598003,"Z",0,"R",7274946,"R",-13253590,"R",0,"R",19421243,"R",19421243,"R",10564753,"R",2103367,"R",664231,"R",953329,"R",4840490,"R",1129714,"R",873622,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",143364693,"R",53630731,"R",14651566,"R",11184257,"R",53648986,"R",0,"R",10249153,1 ,"R",6032816,"R",3013611,"R",7950593,"R",5519000,"R",133529156,"R",143364693,"R",-9835537,"R",104399505,"R",-70796445,"R",23767523,"R",16340329,"R",326050,"R",17294,"R",0,"R",2772158,"R",12200237,"R",31656068,"R",6729154,"R",5505671,"R",12234825,"R",19421243,1 ,"R",86468050,"R",86192599
100733,"R",4503448,"R",13340914,"R",8826359,"R",22167273,"R",26670721,"R",0,"R",4137096,"R",4137096,"R",0,"R",12921000,"R",12921000,"R",17058096,"R",13340914,"R",0,"R",0,"R",-3728289,"R",9612625,"R",106750,"R",76802,"R",14846134,"R",1097003,"R",0,"R",16126689,"R",2785775,"R",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"A",,"Z",0,"A",,"R",20513001,"R",20513001,"Z",0,"R",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",-746717,"R",4333,"R",-742384,"R",19770617,"R",0,"R",0,"R",0,"R",0,"R",0,"R",19770617,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",18096750,"R",10965010,"R",3462635,"R",406931,"R",3262174,"R",0,"R",0,"R",18096750,"R",10965010,"R",3462635,"R",406931,"R",3262174,"R",0,"R",0,1 ,"R",-271419,"R",12921000,"R",1330000,"R",1164419,"R",19770617,"R",18096750,"R",1673867,"R",21296758,"R",-13358000,"R",9612625,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,2 ,"A",,"A",
100751,"R",631188043,"R",1639797797,"R",1506758765,"R",3146556562,"R",3777744605,"R",24085947,"R",550803396,"R",574889343,"R",952208314,"R",495852269,"R",1448060583,"R",2022949926,"R",927823421,"R",316001640,"R",382130652,"R",128838966,"R",1754794679,"R",141599569,"R",78509379,"R",1818679400,"R",303458895,"R",71169177,"R",2413416420,"R",642434852,"R",40333702,"R",0,"R",452717202,"R",41355898,"R",27275883,"R",7280991,"R",2179603,"R",5101388,"R",172792048,"R",0,"R",11232780,"R",0,"R",55755300,"R",768410102,"R",0,"R",146222914,"R",0,"R",33937368,"R",0,"R",0,"R",53728959,"R",-38738483,"R",0,"R",195150758,"R",963560860,"R",81796,"R",3137703,"R",19373585,"R",22678423,"R",45271507,"R",1008832367,"R",349098169,"R",193784271,"R",74595849,"R",14778848,"R",44249767,"R",11156503,"R",10532931,"R",59670300,"R",24339884,"R",8034014,"R",4687988,"R",20642140,"R",1966274,"R",0,"R",50876526,"R",27669833,"R",8319667,"R",1492789,"R",11717739,"R",1676498,"R",0,"R",89483228,"R",48155669,"R",14037044,"R",12106193,"R",12235644,"R",2948678,"R",0,"R",60217870,"R",28757702,"R",8014758,"R",4476447,"R",16984646,"R",1984317,"R",0,"R",102398143,"R",47180242,"R",26238288,"R",4102577,"R",14099791,"R",3121996,"R",7655249,"R",0,"R",0,"R",0,"R",0,"R",22854266,"R",-22854266,"R",0,"R",23505262,"R",23505262,"R",192418841,"R",52262889,"R",14060220,"R",19604326,"R",84988701,"R",0,"R",21502705,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2698702,"R",0,"R",0,"R",0,"R",2698702,"R",0,"R",0,"R",930367041,"R",422150490,"R",153299840,"R",61249168,"R",253976658,"R",0,"R",39690885,1 ,"R",-374939,"R",472075000,"R",35395000,"R",52032939,"R",1008832367,"R",930367041,"R",78465326,"R",2132141353,"R",-455812000,"R",1754794679,"R",26448388,"R",2801892,"R",582354,"R",0,"R",15740412,"R",168845974,"R",214419020,"R",180673861,"R",10239897,"R",190913758,"R",23505262,1 ,"R",667980131,"R",658672567
100760,"R",9904567,"R",23506855,"R",-650,"R",23506205,"R",33410772,"R",342460,"R",5867399,"R",6209859,"R",8596502,"R",11369761,"R",19966263,"R",26176122,"R",14687718,"R",697078,"R",492348,"R",-8642494,"R",7234650,"R",1699274,"R",2279257,"R",32437622,"R",7426321,"R",117637,"R",43960111,"R",21534507,"R",0,"R",1080602,"R",3554902,"R",2453934,"R",1969114,"R",0,"R",0,"R",0,"R",0,"A",,"R",2813,"A",,"R",262330,"R",8243093,"R",0,"R",8207523,"R",0,"R",4565973,"R",0,"R",0,"R",7998,"R",1907,"R",326142,"R",13109543,"R",21352636,"R",0,"R",0,"R",0,"R",0,"R",0,"R",21352636,"R",10166341,"R",5524171,"R",1631843,"R",833637,"R",1009242,"R",923367,"R",244081,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",256091,"R",98621,"R",35358,"R",20999,"R",71705,"R",23260,"R",6148,"R",2557404,"R",332146,"R",106391,"R",209706,"R",1615482,"R",232279,"R",61400,"R",2625671,"R",1271112,"R",449275,"R",215304,"R",388462,"R",238479,"R",63039,"R",4653539,"R",1297440,"R",859200,"R",381589,"R",1580921,"R",422662,"R",111727,"R",0,"R",386370,"R",176002,"Z",0,"R",1277675,"R",-1840047,"Z",0,"R",3417042,"R",3417042,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",23676088,"R",8909860,"R",3258069,"R",1661235,"R",9360529,"R",0,"R",486395,1 ,"R",243683,"R",10938000,"R",1614000,"R",886683,"R",21352636,"R",23676088,"R",-2323452,"R",21227466,"R",-11669364,"R",7234650,"R",4565973,"R",0,"R",317042,"R",0,"R",0,"R",1382471,"R",6265486,"R",2848444,"R",0,"R",2848444,"R",3417042,1 ,"R",338983,"R",342669
100812,"R",17202630,"R",42129231,"R",6717870,"R",48847101,"R",66049731,"R",1058100,"R",10012048,"R",11070148,"R",16097529,"R",23400282,"R",39497811,"R",50567959,"R",28073602,"R",495320,"R",0,"R",-13087150,"R",15481772,"R",2593856,"R",1374716,"R",44047690,"R",3922782,"R",5044703,"R",56983747,"R",14854516,"R",0,"R",0,"R",15052317,"R",371387,"R",2559521,"R",50000,"R",50000,"R",0,"R",379918,"R",0,"R",0,"R",0,"R",0,"R",18413143,"R",0,"R",11518599,"R",50000,"R",5345196,"R",0,"R",0,"R",0,"R",33267,"R",336026,"R",17283088,"R",35696231,"R",0,"R",0,"R",0,"R",0,"R",0,"R",35696231,"R",16394017,"R",9814024,"R",2744674,"R",537341,"R",1289929,"R",1598720,"R",409329,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3003902,"R",1554524,"R",530387,"R",86359,"R",575695,"R",256937,"R",0,"R",2766414,"R",1654253,"R",554715,"R",105549,"R",137863,"R",314034,"R",0,"R",5536520,"R",2010602,"R",691433,"R",230289,"R",1919030,"R",685166,"R",0,"R",0,"R",1324950,"R",535277,"R",0,"R",994630,"R",-2854857,"R",0,"R",3639689,"R",3639689,"R",430635,"R",151661,"R",51838,"R",0,"R",227136,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",624035,"R",0,"R",0,"R",0,"R",624035,"R",0,"R",0,"R",32395212,"R",16510014,"R",5108324,"R",959538,"R",9408007,"R",0,"R",409329,1 ,"R",-257180,"R",22501727,"R",2596000,"R",1748180,"R",35696231,"R",32395212,"R",3301019,"R",35787480,"R",-23606727,"R",15481772,"R",5345196,"R",171210,"R",36539,"R",0,"R",0,"R",901844,"R",6454789,"R",2815100,"R",0,"R",2815100,"R",3639689,1 ,"R",2777919,"R",3072895
100830,"R",12011014,"R",96762901,"R",48790309,"R",145553210,"R",157564224,"R",130000,"R",23358307,"R",23488307,"R",410000,"R",134316457,"R",134726457,"R",158214764,"R",14406481,"R",26215431,"R",5178925,"R",-46451377,"R",-650540,"R",11453157,"R",5975702,"R",115932842,"R",31935507,"R",1875982,"R",167173190,"R",70410292,"Z",0,"Z",0,"R",32598385,"R",1313539,"R",8379124,"R",556677,"R",119944,"R",436733,"R",8327468,"Z",0,"Z",0,"Z",0,"R",4493473,"R",55668666,"Z",0,"R",22663801,"Z",0,"R",8130437,"Z",0,"Z",0,"R",771808,"R",1689236,"R",0,"R",33255282,"R",88923948,"Z",0,"R",13138,"R",35553,"R",0,"R",48691,"R",88972639,"R",27635836,"R",20079517,"R",5754722,"R",546168,"R",0,"R",1255429,"Z",0,"R",418332,"R",201127,"R",55045,"R",0,"R",139644,"R",22516,"Z",0,"R",12890232,"R",4505717,"R",1344443,"R",135996,"R",6389864,"R",514212,"Z",0,"R",4822228,"R",3302514,"R",993434,"R",148679,"R",0,"R",377601,"Z",0,"R",7028022,"R",4078847,"R",1154798,"R",112122,"R",1222233,"R",460022,"Z",0,"R",11992722,"R",5661736,"R",1601495,"R",323018,"R",3768056,"R",638417,"Z",0,"R",0,"R",372189,"R",109860,"Z",0,"R",6823227,"R",-7305276,"Z",0,"R",3391790,"R",3391790,"R",6311329,"R",1098537,"R",237376,"R",2491397,"R",0,"R",117423,"R",2366596,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",14105328,"R",1182043,"R",450058,"R",1072166,"R",7481405,"R",3919656,"R",0,"R",88595819,"R",40482227,"R",11701231,"R",4829546,"R",29216219,"R",0,"R",2366596,1 ,"R",-142321,"R",48024089,"R",3531767,"R",4500039,"R",88972639,"R",88595819,"R",376820,"R",48537374,"R",-49564734,"R",-650540,"R",8130437,"R",171187,"R",26763,"Z",0,"R",575148,"R",5637670,"R",14541205,"R",9867634,"R",1281781,"R",11149415,"R",3391790,1 ,"R",47424072,"R",44107802
100858,"R",302777245,"R",1400728956,"R",1126819456,"R",2527548412,"R",2830325657,"R",30123504,"R",329943723,"R",360067227,"R",699429916,"R",591583897,"R",1291013813,"R",1651081040,"R",841292331,"R",151267770,"R",23358934,"R",163325582,"R",1179244617,"R",120378878,"R",219578421,"R",1553212991,"R",383053597,"R",31113926,"R",2307337813,"R",846501677,"Z",0,"R",2594717,"R",363014113,"R",78188264,"R",7145922,"R",16315903,"R",2612298,"R",13703605,"R",127982301,"Z",0,"R",41933757,"Z",0,"R",28266023,"R",662846283,"Z",0,"R",222838374,"Z",0,"R",14489928,"Z",0,"Z",0,"R",43091116,"R",25752644,"R",0,"R",306172062,"R",969018345,"Z",0,"R",4816181,"R",325785,"R",0,"R",5141966,"R",974160311,"R",281211337,"R",153467554,"R",51264613,"R",22649875,"R",32271704,"R",17545403,"R",4012188,"R",130105274,"R",53710818,"R",24355148,"R",10479194,"R",30083661,"R",9340514,"R",2135939,"R",104096036,"R",41313825,"R",17805824,"R",8384307,"R",34690965,"R",1547289,"R",353826,"R",75146702,"R",36901584,"R",10958744,"R",6052613,"R",10263110,"R",8928850,"R",2041801,"R",33687418,"R",14127197,"R",3562580,"R",2713318,"R",8243753,"R",4102445,"R",938125,"R",74439351,"R",45974915,"R",11956414,"R",5995640,"R",8611267,"R",1547289,"R",353826,"R",0,"R",21160954,"R",6474638,"Z",0,"R",43340958,"R",-70976550,"Z",0,"R",14672779,"R",14672779,"R",163798098,"R",42247893,"R",10938776,"R",13192947,"R",63058891,"R",27964760,"R",6394831,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",877156995,"R",408904740,"R",137316737,"R",69467894,"R",245237088,"R",0,"R",16230536,1 ,"R",-1919733,"R",522410351,"R",35775563,"R",48729887,"R",974160311,"R",877156995,"R",97003316,"R",1593617061,"R",-511375760,"R",1179244617,"R",14489928,"R",670891,"R",0,"R",0,"R",22581985,"R",78749799,"R",116492603,"R",94987834,"R",6831990,"R",101819824,"R",14672779,1 ,"R",593270763,"R",583048737
