varnumber,varname,DataType,Fieldwidth,format,imputationvar,varTitle
1,UNITID,N,6,Cont,,Unique identification number of the institution
60606,F2A01,N,12,Cont,XF2A01,Long-term investments
60611,F2A02,N,12,Cont,XF2A02,Total assets
60616,F2A03,N,12,Cont,XF2A03,Total liabilities
65091,F2A03A,N,12,Cont,XF2A03A,"Debt related to Property, Plant, and Equipment"
60621,F2A04,N,12,Cont,XF2A04,Total unrestricted net assets
60626,F2A05,N,12,Cont,XF2A05,Total restricted net assets
64825,F2A05A,N,12,Cont,XF2A05A,Permanently restricted net assets included in total restricted net assets
65096,F2A05B,N,12,Cont,XF2A05B,Temporarily restricted net assets
60631,F2A06,N,12,Cont,XF2A06,Total net assets
60636,F2A11,N,12,Cont,XF2A11,Land  improvements - End of year
60641,F2A12,N,12,Cont,XF2A12,Buildings - End of year
60646,F2A13,N,12,Cont,XF2A13,"Equipment, including art and library collections - End of year"
65101,F2A15,N,12,Cont,XF2A15,Construction in Progress
65106,F2A16,N,12,Cont,XF2A16,"Other plant, property and equipment"
65111,F2A17,N,12,Cont,XF2A17,"Total Plant, Property, and Equipment"
65116,F2A18,N,12,Cont,XF2A18,Accumulated depreciation
65121,F2A19,N,12,Cont,XF2A19,"Property, Plant, and Equipment, net of accumulated depreciation"
65126,F2A20,N,12,Cont,XF2A20,"Intangible Assets, net of accumulated amortization"
60656,F2B01,N,12,Cont,XF2B01,Total revenues and investment return
60661,F2B02,N,12,Cont,XF2B02,Total expenses
60666,F2B03,N,12,Cont,XF2B03,Other specific changes in net assets
60671,F2B04,N,12,Cont,XF2B04,Total change in net assets
60676,F2B05,N,12,Cont,XF2B05,"Net assets, beginning of the year"
60681,F2B06,N,12,Cont,XF2B06,Adjustments to beginning of year net assets
60686,F2B07,N,12,Cont,XF2B07,"Net assets, end of the year"
60691,F2C01,N,12,Cont,XF2C01,Pell grants
60696,F2C02,N,12,Cont,XF2C02,Other federal grants
60701,F2C03,N,12,Cont,XF2C03,State grants
60706,F2C04,N,12,Cont,XF2C04,Local grants
60711,F2C05,N,12,Cont,XF2C05,Institutional grants (funded)
60716,F2C06,N,12,Cont,XF2C06,Institutional grants (unfunded)
60721,F2C07,N,12,Cont,XF2C07,Total student grants
60726,F2C08,N,12,Cont,XF2C08,Allowances applied to tuition and fees
60731,F2C09,N,12,Cont,XF2C09,Allowances applied to auxiliary enterprise revenues
60736,F2D01,N,12,Cont,XF2D01,Tuition and fees - Total
65131,F2D012,N,12,Cont,XF2D012,Tuition and fees - Unrestricted
65136,F2D013,N,12,Cont,XF2D013,Tuition and fees - Temporarily restricted
65141,F2D014,N,12,Cont,XF2D014,Tuition and fees - Permanently restricted
60741,F2D02,N,12,Cont,XF2D02,Federal appropriations - Total
65146,F2D022,N,12,Cont,XF2D022,Federal appropriations - Unrestricted
65151,F2D023,N,12,Cont,XF2D023,Federal appropriations - Temporarily restricted
65156,F2D024,N,12,Cont,XF2D024,Federal appropriations - Permanently restricted
60746,F2D03,N,12,Cont,XF2D03,State appropriations - Total
