,Ovhd,Inst,Res,Non-inst,Bus/Fin,Comp/Eng/Sci,Mgnt,Admin/Off,Stdt,Aux,Prv/Stdt,Prv/Aux
California Polytechnic State University-San Luis Obispo,0.0,68002,0,86117,15790,11663,15546,9877,21800,9898,0,0
University of Virginia-Main Campus,0.0,173631,4240,289006,24859,54658,83257,30093,25090,53926,0,0
University of Michigan-Ann Arbor,0.0,396091,0,698139,112880,147453,159294,70748,51347,59272,0,0
University of Illinois at Urbana-Champaign,0.0,247099,5749,484766,46173,85618,117961,52884,46455,72390,0,0
University of California-Santa Cruz,0.0,68125,14148,167814,32066,36112,28125,12819,27389,24909,0,0
University of California-Santa Barbara,0.0,119017,26047,218451,31786,39178,31246,19753,42062,37817,0,0
University of California-San Francisco,0.0,36315,13237,257340,72024,36531,69048,15027,11304,15964,0,0
University of California-San Diego,0.0,148173,45975,404754,82510,76094,59884,33732,42681,46729,0,0
University of California-Riverside,0.0,87458,12974,164608,16084,22288,33158,21955,29225,25348,0,0
University of California-Los Angeles,0.0,271525,37117,610289,144155,81834,134733,36962,50516,129858,0,0
University of California-Irvine,0.0,143833,24877,277676,67581,42264,64068,14072,37638,27777,0,0
University of California-Davis,0.0,199674,55690,453489,89922,83065,57988,39618,56603,28748,0,0
University of California-Berkeley,0.0,236516,84071,638904,98894,107470,137108,58274,94283,51042,0,0
Stanford University,0.0,213770,39942,601774,171565,93289,125756,65198,0,0,88284,386660
Smith College,0.0,35096,0,43425,7896,4851,8807,5181,0,0,9670,6899
Princeton University,0.0,153575,0,363284,23749,87246,85214,57830,0,0,35872,17670
Massachusetts Institute of Technology,0.0,205396,416362,928949,67643,91541,127247,103392,0,0,31143,21483
Harvard University,0.0,324202,79683,949982,88405,158931,247557,148346,0,0,74331,165526
Columbia University in the City of New York,0.0,234303,70582,449596,20670,40754,154346,62554,0,0,57056,49029
Carnegie Mellon University,0.0,126071,15925,268201,22756,92108,88299,23473,0,0,19209,3344
Wellesley College,0.0,36577,484,48880,0,202,4462,31242,0,0,6001,6375
Williams College,0.0,31800,0,45116,3368,4712,15817,4776,0,0,13059,12565
