,Ovhd,Inst,Res,Non-inst,Bus/Fin,Comp/Eng/Sci,Mgnt,Admin/Off,Stdt,Aux,Prv/Stdt,Prv/Aux
West Virginia School of Osteopathic Medicine,-100.0,0,0,0,0,0,0,0,1285,72,0,0
University of North Texas Health Science Center,-100.0,0,0,0,0,0,0,0,2383,127,0,0
Oklahoma State University Center for Health Sciences,-100.0,0,0,0,0,0,0,0,385,3837,0,0
Icahn School of Medicine at Mount Sinai,-100.0,0,0,0,0,0,0,0,0,0,8661,103
Grove City College,-100.0,0,0,0,0,0,0,0,0,0,307,1650
A & W Healthcare Educators,-10.0,0,0,0,0,0,0,0,0,0,0,0
Lighthouse Career Institute,-10.0,0,0,0,0,0,0,0,0,0,0,0
Lil Lou's Barber College,-10.0,0,0,0,0,0,0,0,0,0,0,0
Lincoln Technical Institute-Brockton,-10.0,0,0,0,0,0,0,0,0,0,0,0
Lincoln Technical Institute-East Windsor,-10.0,0,0,0,0,0,0,0,0,0,0,0
Lincoln Technical Institute-Edison,-10.0,0,0,0,0,0,0,0,0,0,0,0
Lincoln Technical Institute-Hartford,-10.0,0,0,0,0,0,0,0,0,0,0,0
Lincoln Technical Institute-Lincoln,-10.0,0,0,0,0,0,0,0,0,0,0,0
Lincoln Technical Institute-Lowell,-10.0,0,0,0,0,0,0,0,0,0,0,0
Lincoln Technical Institute-Mahwah,-10.0,0,0,0,0,0,0,0,0,0,0,0
Lincoln Technical Institute-Moorestown,-10.0,0,0,0,0,0,0,0,0,0,0,0
Lincoln Technical Institute-New Britain,-10.0,0,0,0,0,0,0,0,0,0,0,0
Lincoln Technical Institute-Paramus,-10.0,0,0,0,0,0,0,0,0,0,0,0
Lincoln Technical Institute-Shelton,-10.0,0,0,0,0,0,0,0,0,0,0,0
Lincoln Technical Institute-Somerville,-10.0,0,0,0,0,0,0,0,0,0,0,0
Lincoln Technical Institute-South Plainfield,-10.0,0,0,0,0,0,0,0,0,0,0,0
Lincoln Technical Institute-Union,-10.0,0,0,0,0,0,0,0,0,0,0,0
Lincoln Technical Institute-Whitestone,-10.0,0,0,0,0,0,0,0,0,0,0,0
Lindsey Institute of Cosmetology,-10.0,0,0,0,0,0,0,0,0,0,0,0
Long Island Barber Institute,-10.0,0,0,0,0,0,0,0,0,0,0,0
Long Island Beauty School-Hauppauge,-10.0,0,0,0,0,0,0,0,0,0,0,0
Long Island Beauty School-Hempstead,-10.0,0,0,0,0,0,0,0,0,0,0,0
Long Island Nail & Skin Care Institute,-10.0,0,0,0,0,0,0,0,0,0,0,0
Life Pacific College-Virginia Extension Site: Christianburg,-10.0,0,0,0,0,0,0,0,0,0,0,0
Liceo de Arte-Dise-O y Comercio,-10.0,0,0,0,0,0,0,0,0,0,0,0
Liberty Technical College,-10.0,0,0,0,0,0,0,0,0,0,0,0
Loraines Academy & Spa,-10.0,0,0,0,0,0,0,0,0,0,0,0
Lancaster School of Cosmetology,-10.0,0,0,0,0,0,0,0,0,0,0,0
Lansdale School of Cosmetology Inc,-10.0,0,0,0,0,0,0,0,0,0,0,0
Laredo Beauty College Inc,-10.0,0,0,0,0,0,0,0,0,0,0,0
Laredo CHI Academy Beauty School,-10.0,0,0,0,0,0,0,0,0,0,0,0
Larry's Barber College,-10.0,0,0,0,0,0,0,0,0,0,0,0
Latin Beauty Academy,-10.0,0,0,0,0,0,0,0,0,0,0,0
Laurus College,-10.0,0,0,0,0,0,0,0,0,0,0,0
Lawrence & Company College of Cosmetology,-10.0,0,0,0,0,0,0,0,0,0,0,0
Le Cordon Bleu College of Culinary Arts-Sacramento,-10.0,0,0,0,0,0,0,0,0,0,0,0
Le Cordon Bleu College of Culinary Arts-Seattle,-10.0,0,0,0,0,0,0,0,0,0,0,0
Le Cordon Bleu College of Culinary Arts-St Louis,-10.0,0,0,0,0,0,0,0,0,0,0,0
LeGrand Institute of Cosmetology Inc,-10.0,0,0,0,0,0,0,0,0,0,0,0
LeMelange Academy of Hair,-10.0,0,0,0,0,0,0,0,0,0,0,0
Learnet Academy Inc,-10.0,0,0,0,0,0,0,0,0,0,0,0
Lee Professional Institute,-10.0,0,0,0,0,0,0,0,0,0,0,0
Lees School of Cosmetology,-10.0,0,0,0,0,0,0,0,0,0,0,0
Leon Studio One School of Hair Design,-10.0,0,0,0,0,0,0,0,0,0,0,0
