Unnamed: 0,Ovhd,Alt_Ovhd,CONTROL
Rabbinical Academy Mesivta Rabbi Chaim Berlin,0.03,0.0372807017544,2
Mesivtha Tifereth Jerusalem of America,0.14,0.146131805158,2
"Bexley Hall Seabury Western Theological Seminary Federation, Inc.",0.15,0.154639175258,2
Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,0.16,0.161943319838,2
University of Mary,0.18,0.759474327628,2
Beis Medrash Heichal Dovid,0.24,0.241860465116,2
Yeshivath Zichron Moshe,0.24,0.434163701068,2
Bais Medrash Elyon,0.25,0.0,2
Yeshivath Viznitz,0.27,0.173288250211,2
Kettering College,0.28,0.127694556083,2
Yeshiva Gedolah of Greater Detroit,0.29,0.290322580645,2
Arizona State University-Skysong,0.34,0.215258571205,1
Ponce School of Medicine and Health Sciences,0.36,0.588387933831,3
Boston Graduate School of Psychoanalysis Inc,0.36,0.0,2
University of Missouri-Columbia,0.37,1.32144453312,1
East Carolina University,0.39,1.1717996499,1
Naval Postgraduate School,0.4,0.54058538656,1
Mount Carmel College of Nursing,0.43,0.41490926925,2
Massachusetts School of Law,0.45,0.296343537415,2
Appalachian College of Pharmacy,0.48,0.36927733636,2
Antioch University-PhD Program in Leadership and Change,0.49,0.381601362862,2
Hampton University,0.49,0.277763698109,2
University of Management and Technology,0.51,0.388176240937,3
Saint Francis Medical Center College of Nursing,0.52,0.419924337957,2
Knox Theological Seminary,0.53,0.117370892019,2
Union University,0.54,0.39141654979,2
Lindenwood University,0.54,0.365524060646,2
Piedmont College,0.55,0.239808952571,2
Middle Tennessee School of Anesthesia Inc,0.57,0.391081871345,2
Midwestern University-Glendale,0.57,0.344931660415,2
Apex School of Theology,0.58,0.473333333333,2
Emmanuel Christian Seminary,0.59,0.209708737864,2
Inter American University of Puerto Rico-Metro,0.59,0.523153028951,2
Tuskegee University,0.59,0.248634590377,2
Frontier Nursing University,0.59,0.442654764215,2
Yeshivat Mikdash Melech,0.6,0.59509202454,2
University of the District of Columbia-David A Clarke School of Law,0.6,0.421337579618,1
New Orleans Baptist Theological Seminary,0.61,0.617237687366,2
Allen College,0.61,0.389309576837,2
Georgia Christian University,0.61,0.294117647059,2
Baylor College of Medicine,0.62,1.03843915216,2
Colorado State University-Fort Collins,0.63,0.552227595668,1
Trinity Episcopal School for Ministry,0.64,0.364573570759,2
Brigham Young University-Provo,0.64,0.934649915553,2
Michigan State University-College of Law,0.64,0.42107636801,2
Louisiana Tech University,0.64,0.469623496945,1
Salisbury University,0.65,0.6790058862,1
William Carey University,0.66,0.412968879423,2
Savannah Law School,0.66,0.546700942588,3
Tarleton State University,0.66,0.542445679636,1
Stanford University,0.66,2.1373940841,2
Winona State University,0.67,0.50285375097,1
West Chester University of Pennsylvania,0.67,0.542024488891,1
Antioch University-New England,0.67,0.584005376344,2
Institute for the Psychological Sciences,0.67,0.433420365535,2
South Texas College of Law,0.68,0.563192376415,2
Our Lady of the Lake College,0.68,0.500411522634,2
The Chicago School of Professional Psychology at Irvine,0.69,0.615384615385,2
Northeastern Seminary,0.69,0.52380952381,2
Montana Tech of the University of Montana,0.69,0.655190456258,1
Central Michigan University,0.7,0.876752235814,1
Indiana University of Pennsylvania-Main Campus,0.7,0.553587621308,1
Charleston School of Law,0.7,0.45593766792,3
South College,0.7,0.643193652368,3
Rutgers University-Newark,0.7,0.478699276252,1
Southwestern Oklahoma State University,0.7,0.424683212117,1
Yeshiva D'monsey Rabbinical College,0.71,0.711111111111,2
Saint Ambrose University,0.71,0.523880307633,2
Rocky Mountain University of Health Professions,0.71,0.67488899852,3
Oakland City University,0.71,0.314747767318,2
Texas Tech University,0.71,0.746628507371,1
Mirrer Yeshiva Cent Institute,0.71,0.425266903915,2
Hardin-Simmons University,0.72,0.525558925963,2
MGH Institute of Health Professions,0.72,0.675166825548,2
Bloomsburg University of Pennsylvania,0.73,0.605813919067,1
Millersville University of Pennsylvania,0.73,0.717459560431,1
Shippensburg University of Pennsylvania,0.73,0.590416305291,1
Western Michigan University,0.74,0.655075136983,1
Iowa State University,0.74,0.572286523239,1
Samuel Merritt University,0.74,0.606397459165,2
University of Central Arkansas,0.75,0.562281687574,1
Plymouth State University,0.75,0.878050452427,1
South Dakota School of Mines and Technology,0.75,0.662704073546,1
Marshall University,0.76,0.631727347386,1
Spalding University,0.76,0.58869287401,2
MCPHS University,0.76,0.620790855731,2
New York Law School,0.76,0.433043625011,2
The Wright Institute,0.77,0.475832438238,2
Colorado Mesa University,0.77,0.711269892822,1
Old Dominion University,0.78,0.735096740457,1
Slippery Rock University of Pennsylvania,0.78,0.560754532092,1
CUNY Hunter College,0.78,0.486217999625,1
James Madison University,0.78,0.727981483737,1
University of Washington-Tacoma Campus,0.78,0.5021158946,1
Pennsylvania State University-Penn State Harrisburg,0.79,0.476454009736,1
Appalachian State University,0.79,0.625031312625,1
Northeastern State University,0.79,0.57351584128,1
Rutgers University-Camden,0.79,0.489848605578,1
Texas A & M University-College Station,0.79,0.738027931311,1
Missouri State University-Springfield,0.8,0.633747349288,1
Chamberlain College of Nursing-Illinois,0.8,0.316708229426,3
University of Puerto Rico-Rio Piedras,0.8,0.411546186057,1
Sioux Falls Seminary,0.8,0.585253456221,2
Widener University-Commonwealth Law School,0.8,0.429723991507,2
University of Wisconsin-La Crosse,0.8,0.515778161331,1
CUNY City College,0.81,0.549256505576,1
West Texas A & M University,0.81,0.812735800958,1
University of Puget Sound,0.81,0.65547711665,2
Mississippi University for Women,0.82,0.65411590993,1
Barnes-Jewish College Goldfarb School of Nursing,0.82,0.503623188406,2
Universidad Politecnica de Puerto Rico,0.82,0.607896323086,2
Ferris State University,0.82,0.77996814478,1
University of Puerto Rico-Medical Sciences,0.82,0.572423518577,1
Erskine College,0.82,0.639658848614,2
York College Pennsylvania,0.82,0.599327829327,2
Lynchburg College,0.83,0.541379042891,2
University of Wisconsin-Eau Claire,0.83,0.62519962194,1
Eastern Virginia Medical School,0.83,0.451609509783,1
Saint Anthony College of Nursing,0.83,0.628318584071,2
Saybrook University,0.83,0.544697633655,2
Arizona State University-Polytechnic,0.83,0.584111135229,1
Miami University-Oxford,0.83,0.758664991317,1
