UNITID,ARANK,XSATOTLT,SATOTLT,XSATOTLM,SATOTLM,XSATOTLW,SATOTLW,XSA09MCT,SA09MCT,XSA09MCM,SA09MCM,XSA09MCW,SA09MCW,XSA10MCT,SA10MCT,XSA10MCM,SA10MCM,XSA10MCW,SA10MCW,XSA11MCT,SA11MCT,XSA11MCM,SA11MCM,XSA11MCW,SA11MCW,XSA12MCT,SA12MCT,XSA12MCM,SA12MCM,XSA12MCW,SA12MCW,XSAMNTHT,SAMNTHT,XSAMNTHM,SAMNTHM,XSAMNTHW,SAMNTHW,XSAOUTLT,SAOUTLT,XSAOUTLM,SAOUTLM,XSAOUTLW,SAOUTLW,XSAAVMNT,SAAVMNT,XSAAVMNM,SAAVMNM,XSAAVMNW,SAAVMNW 
100654,1,"R",48,"R",34,"R",14,"R",45,"R",31,"R",14,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",3,"Z",0,"R",441,"R",315,"R",126,"R",4017859,"R",2848425,"R",1169434,"R",9111,"R",9043,"R",9281
100654,2,"R",61,"R",40,"R",21,"R",59,"R",39,"R",20,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",1,"R",1,"R",555,"R",363,"R",192,"R",3975008,"R",2558375,"R",1416633,"R",7162,"R",7048,"R",7378
100654,3,"R",95,"R",53,"R",42,"R",93,"R",53,"R",40,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",2,"R",861,"R",477,"R",384,"R",5129072,"R",3004444,"R",2124628,"R",5957,"R",6299,"R",5533
100654,4,"R",37,"R",14,"R",23,"R",37,"R",14,"R",23,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",333,"R",126,"R",207,"R",1503440,"R",614068,"R",889372,"R",4515,"R",4874,"R",4296
100654,7,"R",241,"R",141,"R",100,"R",234,"R",137,"R",97,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",7,"R",4,"R",3,"R",2190,"R",1281,"R",909,"R",14625379,"R",9025312,"R",5600067,"R",6678,"R",7046,"R",6161
100663,1,"R",221,"R",158,"R",63,"R",94,"R",72,"R",22,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",127,"R",86,"R",41,"R",2370,"R",1680,"R",690,"R",33254059,"R",24064022,"R",9190037,"R",14031,"R",14324,"R",13319
100663,2,"R",250,"R",136,"R",114,"R",136,"R",83,"R",53,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",114,"R",53,"R",61,"R",2592,"R",1383,"R",1209,"R",24321998,"R",12898617,"R",11423381,"R",9383,"R",9327,"R",9449
100663,3,"R",286,"R",132,"R",154,"R",139,"R",80,"R",59,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",147,"R",52,"R",95,"R",3015,"R",1344,"R",1671,"R",22637130,"R",10372197,"R",12264933,"R",7508,"R",7717,"R",7340
100663,4,"R",96,"R",27,"R",69,"R",31,"R",16,"R",15,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",65,"R",11,"R",54,"R",1059,"R",276,"R",783,"R",6983766,"R",1840703,"R",5143063,"R",6595,"R",6669,"R",6568
100663,7,"R",853,"R",453,"R",400,"R",400,"R",251,"R",149,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",453,"R",202,"R",251,"R",9036,"R",4683,"R",4353,"R",87196953,"R",49175539,"R",38021414,"R",9650,"R",10501,"R",8735
100690,4,"R",38,"R",31,"R",7,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",38,"R",31,"R",7,"R",456,"R",372,"R",84,"R",1657349,"R",1293778,"R",363571,"R",3635,"R",3478,"R",4328
100690,7,"R",38,"R",31,"R",7,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",38,"R",31,"R",7,"R",456,"R",372,"R",84,"R",1657349,"R",1293778,"R",363571,"R",3635,"R",3478,"R",4328
100706,1,"R",80,"R",68,"R",12,"R",60,"R",49,"R",11,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",20,"R",19,"R",1,"R",780,"R",669,"R",111,"R",9539678,"R",8231162,"R",1308516,"R",12230,"R",12304,"R",11788
100706,2,"R",95,"R",64,"R",31,"R",85,"R",58,"R",27,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",10,"R",6,"R",4,"R",885,"R",594,"R",291,"R",8032692,"R",5730637,"R",2302055,"R",9076,"R",9648,"R",7911
100706,3,"R",84,"R",48,"R",36,"R",81,"R",48,"R",33,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"Z",0,"R",3,"R",765,"R",432,"R",333,"R",5919018,"R",3577615,"R",2341403,"R",7737,"R",8282,"R",7031
100706,4,"R",14,"R",1,"R",13,"R",14,"R",1,"R",13,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",126,"R",9,"R",117,"R",743259,"R",53843,"R",689416,"R",5899,"R",5983,"R",5892
100706,5,"R",41,"R",11,"R",30,"R",31,"R",8,"R",23,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",10,"R",3,"R",7,"R",399,"R",108,"R",291,"R",2134148,"R",698886,"R",1435262,"R",5349,"R",6471,"R",4932
100706,7,"R",314,"R",192,"R",122,"R",271,"R",164,"R",107,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",43,"R",28,"R",15,"R",2955,"R",1812,"R",1143,"R",26368795,"R",18292143,"R",8076652,"R",8923,"R",10095,"R",7066
100724,1,"R",64,"R",39,"R",25,"R",5,"R",2,"R",3,"R",59,"R",37,"R",22,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",635,"R",388,"R",247,"R",5323549,"R",3363813,"R",1959736,"R",8384,"R",8670,"R",7934
100724,2,"R",65,"R",29,"R",36,"R",3,"R",1,"R",2,"R",62,"R",28,"R",34,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",647,"R",289,"R",358,"R",4510455,"R",2067827,"R",2442628,"R",6971,"R",7155,"R",6823
100724,3,"R",89,"R",40,"R",49,"R",9,"R",4,"R",5,"R",80,"R",36,"R",44,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",881,"R",396,"R",485,"R",5097881,"R",2298014,"R",2799867,"R",5786,"R",5803,"R",5773
100724,4,"R",58,"R",18,"R",40,"R",1,"Z",0,"R",1,"R",57,"R",18,"R",39,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",579,"R",180,"R",399,"R",2637988,"R",854873,"R",1783115,"R",4556,"R",4749,"R",4469
