UNITID,ARANK,XSATOTLT,SATOTLT,XSATOTLM,SATOTLM,XSATOTLW,SATOTLW,XSA09MCT,SA09MCT,XSA09MCM,SA09MCM,XSA09MCW,SA09MCW,XSA10MCT,SA10MCT,XSA10MCM,SA10MCM,XSA10MCW,SA10MCW,XSA11MCT,SA11MCT,XSA11MCM,SA11MCM,XSA11MCW,SA11MCW,XSA12MCT,SA12MCT,XSA12MCM,SA12MCM,XSA12MCW,SA12MCW,XSAMNTHT,SAMNTHT,XSAMNTHM,SAMNTHM,XSAMNTHW,SAMNTHW,XSAOUTLT,SAOUTLT,XSAOUTLM,SAOUTLM,XSAOUTLW,SAOUTLW,XSAAVMNT,SAAVMNT,XSAAVMNM,SAAVMNM,XSAAVMNW,SAAVMNW 
100654,1,"R",52,"R",38,"R",14,"R",40,"R",28,"R",12,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",12,"R",10,"R",2,"R",504,"R",372,"R",132,"R",4461924,"R",3249055,"R",1212869,"R",8853,"R",8734,"R",9188
100654,2,"R",69,"R",43,"R",26,"R",64,"R",40,"R",24,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",5,"R",3,"R",2,"R",636,"R",396,"R",240,"R",4648531,"R",2938675,"R",1709856,"R",7309,"R",7421,"R",7124
100654,3,"R",90,"R",48,"R",42,"R",88,"R",48,"R",40,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",2,"R",816,"R",432,"R",384,"R",5027953,"R",2759362,"R",2268591,"R",6162,"R",6387,"R",5908
100654,4,"R",32,"R",9,"R",23,"R",32,"R",9,"R",23,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",288,"R",81,"R",207,"R",1327366,"R",389446,"R",937920,"R",4609,"R",4808,"R",4531
100654,7,"R",243,"R",138,"R",105,"R",224,"R",125,"R",99,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",19,"R",13,"R",6,"R",2244,"R",1281,"R",963,"R",15465774,"R",9336538,"R",6129236,"R",6892,"R",7288,"R",6365
100663,1,"R",211,"R",150,"R",61,"R",87,"R",71,"R",16,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",124,"R",79,"R",45,"R",2271,"R",1587,"R",684,"R",33508108,"R",23682860,"R",9825248,"R",14755,"R",14923,"R",14364
100663,2,"R",263,"R",144,"R",119,"R",148,"R",92,"R",56,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",115,"R",52,"R",63,"R",2712,"R",1452,"R",1260,"R",25730273,"R",13840560,"R",11889713,"R",9488,"R",9532,"R",9436
100663,3,"R",288,"R",134,"R",154,"R",145,"R",78,"R",67,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",143,"R",56,"R",87,"R",3021,"R",1374,"R",1647,"R",24030831,"R",11246606,"R",12784225,"R",7955,"R",8185,"R",7762
100663,4,"R",103,"R",29,"R",74,"R",38,"R",16,"R",22,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",65,"R",13,"R",52,"R",1122,"R",300,"R",822,"R",7601007,"R",2127256,"R",5473751,"R",6775,"R",7091,"R",6659
100663,7,"R",865,"R",457,"R",408,"R",418,"R",257,"R",161,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",447,"R",200,"R",247,"R",9126,"R",4713,"R",4413,"R",90870219,"R",50897282,"R",39972937,"R",9957,"R",10799,"R",9058
100690,4,"R",30,"R",24,"R",6,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",30,"R",24,"R",6,"R",360,"R",288,"R",72,"R",1234786,"R",997031,"R",237755,"R",3430,"R",3462,"R",3302
100690,7,"R",30,"R",24,"R",6,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",30,"R",24,"R",6,"R",360,"R",288,"R",72,"R",1234786,"R",997031,"R",237755,"R",3430,"R",3462,"R",3302
100706,1,"R",61,"R",50,"R",11,"R",42,"R",34,"R",8,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",19,"R",16,"R",3,"R",606,"R",498,"R",108,"R",7877343,"R",6516602,"R",1360741,"R",12999,"R",13086,"R",12599
100706,2,"R",86,"R",58,"R",28,"R",79,"R",53,"R",26,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",7,"R",5,"R",2,"R",795,"R",537,"R",258,"R",7878788,"R",5542983,"R",2335805,"R",9910,"R",10322,"R",9054
100706,3,"R",100,"R",59,"R",41,"R",98,"R",59,"R",39,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"Z",0,"R",2,"R",906,"R",531,"R",375,"R",7406240,"R",4513817,"R",2892423,"R",8175,"R",8501,"R",7713
100706,4,"R",13,"R",1,"R",12,"R",13,"R",1,"R",12,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",117,"R",9,"R",108,"R",728105,"R",57938,"R",670167,"R",6223,"R",6438,"R",6205
100706,5,"R",38,"R",12,"R",26,"R",26,"R",7,"R",19,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",12,"R",5,"R",7,"R",378,"R",123,"R",255,"R",2173115,"R",767602,"R",1405513,"R",5749,"R",6241,"R",5512
100706,7,"R",298,"R",180,"R",118,"R",258,"R",154,"R",104,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",40,"R",26,"R",14,"R",2802,"R",1698,"R",1104,"R",26063591,"R",17398942,"R",8664649,"R",9302,"R",10247,"R",7848
