UNITID,XSANIN01,SANIN01,XSANIT01,SANIT01,XSANIN02,SANIN02,XSANIT02,SANIT02,XSANIN03,SANIN03,XSANIT03,SANIT03,XSANIN04,SANIN04,XSANIT04,SANIT04,XSANIN05,SANIN05,XSANIT05,SANIT05,XSANIN06,SANIN06,XSANIT06,SANIT06,XSANIN07,SANIN07,XSANIT07,SANIT07,XSANIN08,SANIN08,XSANIT08,SANIT08,XSANIN09,SANIN09,XSANIT09,SANIT09,XSANIN10,SANIN10,XSANIT10,SANIT10,XSANIN11,SANIN11,XSANIT11,SANIT11,XSANIN12,SANIN12,XSANIT12,SANIT12,XSANIN13,SANIN13,XSANIT13,SANIT13,XSANIN14,SANIN14,XSANIT14,SANIT14 
100654,"R",522,"R",23789803,"R",2,"R",76821,"Z",0,"Z",0,"R",10,"R",425043,"R",81,"R",7183668,"R",40,"R",2051844,"R",34,"R",1850820,"R",100,"R",3101246,"R",1,"R",65160,"R",51,"R",1568026,"R",2,"R",85833,"R",184,"R",6766250,"R",6,"R",194771,"R",11,"R",420321
100663,"R",3105,"R",169903448,"Z",0,"Z",0,"Z",0,"Z",0,"R",86,"R",4827820,"R",268,"R",31660415,"R",549,"R",32083105,"R",513,"R",32555107,"R",205,"R",11544771,"R",67,"R",3936126,"R",518,"R",15514602,"Z",0,"Z",0,"R",538,"R",20834622,"R",282,"R",13605949,"R",79,"R",3340931
100690,"R",31,"R",1928300,"Z",0,"Z",0,"Z",0,"Z",0,"R",15,"R",682830,"R",3,"R",466287,"R",8,"R",500736,"R",5,"R",278447,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0
100706,"R",983,"R",66834571,"Z",0,"Z",0,"Z",0,"Z",0,"R",23,"R",967927,"R",104,"R",13395790,"R",75,"R",3731446,"R",412,"R",33768990,"R",69,"R",3304355,"R",4,"R",278075,"R",90,"R",2884980,"Z",0,"Z",0,"R",184,"R",7550328,"R",20,"R",897110,"R",2,"R",55570
100724,"R",576,"R",25877173,"R",6,"R",248250,"Z",0,"Z",0,"R",66,"R",2753748,"R",68,"R",6362248,"R",37,"R",1638269,"R",28,"R",1424289,"R",81,"R",4249860,"R",2,"R",92350,"R",133,"R",3585544,"R",7,"R",188707,"R",109,"R",3932347,"R",33,"R",1254391,"R",6,"R",147170
100733,"R",90,"R",11438502,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",15,"R",4132156,"R",22,"R",2143905,"R",5,"R",326987,"R",20,"R",3289303,"Z",0,"Z",0,"R",1,"R",86500,"Z",0,"Z",0,"R",27,"R",1459651,"Z",0,"Z",0,"Z",0,"Z",0
100751,"R",4184,"R",225344598,"Z",0,"Z",0,"Z",0,"Z",0,"R",184,"R",8140497,"R",530,"R",57811533,"R",436,"R",24604673,"R",460,"R",26867392,"R",496,"R",29159870,"R",200,"R",10502837,"R",709,"R",25049408,"R",25,"R",665541,"R",820,"R",27473839,"R",212,"R",10951696,"R",112,"R",4117312
100760,"R",75,"R",3927705,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",137624,"R",16,"R",1507215,"R",7,"R",252530,"R",1,"R",49420,"R",1,"R",50354,"Z",0,"Z",0,"R",14,"R",461174,"Z",0,"Z",0,"R",33,"R",1469388,"Z",0,"Z",0,"Z",0,"Z",0
100812,"R",137,"R",7788594,"Z",0,"Z",0,"Z",0,"Z",0,"R",25,"R",1531147,"R",22,"R",2168073,"R",5,"R",286210,"R",10,"R",652199,"R",6,"R",238918,"Z",0,"Z",0,"R",10,"R",393807,"Z",0,"Z",0,"R",49,"R",2035334,"R",8,"R",392939,"R",2,"R",89967
100830,"R",365,"R",17627303,"Z",0,"Z",0,"Z",0,"Z",0,"R",22,"R",716630,"R",109,"R",7823206,"R",21,"R",1100990,"R",46,"R",2568772,"R",24,"R",1038090,"R",4,"R",219940,"R",32,"R",803225,"R",2,"R",39840,"R",104,"R",3288330,"Z",0,"Z",0,"R",1,"R",28280
