Position,Count
Acad Achievement Cnslr 2,13
Acad Achievement Cnslr 3,12
Acad Achievement Cnslr 4,14
Acad Achievement Cnslr 5,2
Acad Achievement Mgr 1,3
Acad Achievement Supv 2,2
Acad HR Anl 1,2
Acad HR Anl 2,32
Acad HR Anl 3,28
Acad HR Anl 4,8
Acad HR Anl 5,3
Acad HR Mgr 1,7
Acad HR Mgr 3,1
Acad Prg Mgr 2,8
Acad Prg Mgt Ofcr 4,44
Acad Prg Mgt Ofcr 5,29
Academic Administrator Vi,1
Academic Administrator Vii,6
Academic Coord I-Ay,9
Academic Coord I-Fy,52
Academic Coord II-Ay,2
Academic Coord II-Fy,67
Academic Coord III-Ay,1
Academic Coord III-Fy,9
Accountant 2 Nex,6
Accountant 3,31
Accountant 4,7
Accountant 5,3
Accounting Mgr 1,2
Accounting Mgr 2,1
Accounting Mgr 3,2
Accounting Mgr 4,1
Accounting Supv 2,4
Act Assoc Prof-Ay-B/E/E,1
Act Asst Prof-Ay,1
Act Asst Prof-Ay-B/E/E,1
Act Instr-Grad Stdnt-GSHIP,7
Act Instr-Grad Stdnt-Non-GSHIP,1
Act Prof-Ay-Law,14
Act/Interim Assoc Dean,1
Adj Prof-Ay,26
Adj Prof-Ay-1/9-B/E/E,1
Adj Prof-Ay-B/E/E,8
Adj Prof-Fy,1
Adj Prof-Fy-B/E/E,1
Admin Ast 1,2
Admin Ast 2,1
Admin Ast 3,2
Admin Mgr 1,60
Admin Mgr 2,24
Admin Mgr 3,13
Admin Mgr 4,6
Admin Nurse 4,1
Admin Ofcr 2,139
Admin Ofcr 3,80
Admin Ofcr 4,39
Admin Stipend,1
Admin Supv 1,12
Admin Supv 2,17
Admissions Evaluator 3,79
Admissions Recrmt Mgr 1,5
Admissions Recrmt Mgr 3,1
Admissions Recrmt Spec 1,3
Admissions Recrmt Spec 2,44
Admissions Recrmt Spec 3,57
Admissions Recrmt Spec 4,13
Admissions Recrmt Supv 2,4
Aerospace Engr 2,15
Aerospace Engr 3,10
Aerospace Engr 4,9
Aerospace Engr 5,2
Aerospace Mgr 2,10
Aerospace Mgr 3,4
Aerospace Tchn 3,2
Agricultural Tchn,3
Agricultural Tchn Sr,2
Agron Aes,26
Agron Aes-Ay,25
Applications Prg Supv 2,5
Applications Progm Mgr 1,12
Applications Progm Mgr 2,4
Applications Progm Mgr 3,1
Applications Progr 1,4
Applications Progr 2,47
Applications Progr 3,140
Applications Progr 4,69
Applications Progr 5,3
Artist,1
Artist Sr,5
Asc Head Coach Crd 4,4
Assoc Adj Prof-Ay,21
Assoc Adj Prof-Ay-1/9-B/E/E,1
Assoc Adj Prof-Ay-B/E/E,1
Assoc Agron Aes-Ay,22
Assoc Agron Aes-Ay-B/E/E,2
