Position,Count
"Accompanist II, Range 1",1
"Public Affairs/Communication Specialist -12 Month, Range 3",1
"Instructional Faculty, Summer Session - Extension, Range 2",1
"Instructional Faculty, Special Programs -For Credit, Range 1",1
"Radiologic Technologist II, Range 1",1
"Registered Nurse II, Range 1",1
"Instructional Faculty - 12 Month, Range 3",1
"Research Fellow, Range 0",1
"Heavy Equipment Operator/Bus Driver, Range 1",1
"Heavy Construction Equipment Operator, Range 1",1
"Health Information Technician, Range 1",1
"Health Educator, Range 1",1
"Health Education Assistant, Range 1",1
"Instructional Student Assistant - On Campus Work Study, Range 0",1
"Head Coach - 12 Month, Range 0",1
"Shipping and Receiving Assistant I, Range 1",1
"Graphic Designer -12 Month, Range 2",1
"Grant-Related/Specially Funded Instructional Faculty - 12Mo, Range 0",1
"Space and Facilities Utilization Specialist, Range 1",1
"Facilities Project Supervisor, Range 1",1
"Facilities Control Specialist, Range 1",1
"Equipment Technician II, Specialized Equipment, Range 1",1
"Special Consultant - ACA, Range 0",1
"Equipment Technician I, Mechanical, Range 1",1
"Early Childhood Teacher, Range 8",1
"Early Childhood Master Teacher, Range 8",1
"Drafting Technician II, Range 1",1
"Phlebotomist/Clinical Laboratory Assistant, Range 8",1
"Visual Resource Specialist -11/12, Range 2",1
"Instructional Support Technician I, Range 8",1
"President, Range 0",1
"Pharmacy Technician, Range 8",1
"Pharmacist II, Range 1",1
"Pharmacist I, Range 8",1
"Pest Control and Spray Specialist, Range 1",1
"Performing Arts Technician -10/12, Range 2",1
"Parking Officer -12 Month, Range 2",1
"Operations Specialist -12, Range 3",1
"Operations Specialist -12, Range 1",1
"Physician, Range 1",1
"Nurse Practitioner, Range 8",1
"Network Analyst -12, Range 3",1
"Network Analyst -12, Range 1",1
"Medical Transcriber, Range 8",1
"Medical Assistant, Range 8",1
"Media Production Specialist -12 Month, Range 1",1
"Mail Services Supervisor I, Range 1",1
"Licensed Vocational Nurse II, Range 1",1
"Piano Technician I, Range 1",1
"Librarian - 12 Month, Range 5",1
"Police Dispatcher -12 Month, Range 2",1
"Lead Plumber, Range 1",1
"Lead Painter, Range 1",1
"Lead Locksmith, Range 1",1
"Lead Electrician, Range 1",1
"Lead Automotive/Equipment Mechanic, Range 1",1
"Poultry Technician, Range 1",1
