Clin Instr-Vol,200
Writer,883
Physcn 3,1428
Assoc Clin Prof-Vol,1799
Survey Worker Sr,2590
Language Ast,3486
Agricultural Tchn Sr,4780
Admin Stipend,4830
Asst Clin Prof-Vol,5469
Ath Trainer 2,5638
Military/Air Sci&Tactics Asst,6234
Lab Mechn Helper,6280
Musician 1,6669
Enterprise Risk Mgt Anl 1,6915
Faculty Recruitment Allow,8056
K To 14 Acad Prep Spec 1,8932
Admin Ast 2,9064
Visiting Professor - Fiscal Yr,10000
Asst Res-Ay-1/9,10000
Lect-Miscellaneous/Part Time,11104
HR Mgr 3,11111
Department Chair,11373
Professor Recalled-Acad Yr-1/9,12000
Professor-Acad Yr-Recalled,12500
Stdt Health Physcn 3 Pd,12841
Adj Prof-Fy,13333
Financial Svc Anl 1,13695
Prof Emeritus(Wos),14590
Employment Mgr 1,14631
Bibliographer 2,14662
Info Sys Anl 1,15771
Remd Tut II Non-Gship/Non Rep,16118
Storekeeper Ast,16780
Ath Intern,16869
Cook Ast,16873
Coop Ext Advisor,17133
Photographic Tchn Sr,17907
Editor Ast,19158
Assoc Adj Prof-Ay-1/9-B/E/E,19408
Adj Prof-Ay-1/9-B/E/E,19668
Assoc Res-Ay-1/9,21482
Electr Tchn Prn,22282
Drafting Tchn Prn,22556
Pharmacist Pd,22617
Counseling Psychologist 2,24283
Clinic Ops Supv 1,26169
Artist,26668
Agricultural Tchn,27711
Storekeeper Ld,28196
Clin Lab Sci Pd,28448
Tchl Project Mgr 3,30219
Recreation Prg Instr,31757
Stdt Life Dev Spec 1,31868
Radlg Tchno Pd,34327
Scene Tchn Ast Pd,35248
Visual Comm Mgr 1,36000
Vst Professor-Acad Yr-1/9 Pmt,37500
Psychologist 1,37781
QA Release Mgt Anl 1,38250
Broadcast Comm Spec 1,38871
Equip Operating Engr Worker Ld,39015
Early Childhood Educ Mgr 2,39359
Res-Ay-1/9-B/E/E,39453
Fld Wk Consult-Fy,40240
Field Rsch Supv 1,40305
Coord Public Prog III,41185
Photographer Sr,41850
Musician 2,41879
Museum Educ Supv 1,42573
Phys Ther 4,43785
Sound Tchn,43814
Coord Fld Wk-Ay,44816
Publ Educ Supv 2,45000
Computer Resc Spec 1,45040
Glazier,45272
Health Educator 3,46578
Proj Scientist-Fy-B/E/E,46976
Hosp Ast,47492
Sys Adm 1,47804
Fac Mgt Spec 1,48287
HR Ast 2,48786
Planning Spec 2,48979
Av IT Spec 3,49433
Illustrator Sr,50104
Television Tchn,50878
Tree Trimmer Ld,51017
Admin Ast 1,52298
Survey Worker,52386
Bus Sys Anl 1 Nex,52611
Clerk,53707
User Experience Designer 2,54980
Rsch And Dev Engr Supv 2,55575
Act Instr-Grad Stdnt-Gship,56668
Broadcast Comm Supv 1,56809
Recording Tchn,57295
Radlg Tchno,57351
Med Rcds Tchn,57884
Exhibitions Supv 1,58555
Musician 3,59293
Publications Prod Supv 1,60238
Acad HR Anl 1,60358
Health Educator 1,62319
Clinic Ops Adm 4,62479
Enterprise Risk Supv 2,62538
Res ---- - Recalled,63428
Theater Prod Spec 2,63830
Tree Trimmer,64129
Lab Instruction Supv 1,64170
Projectionist Sr,64277
Irrigation Mech Ld,64700
Department Vice Chair,65000
Government Rel Spec 3,65438
Hosp Ast Sr,66050
Av IT Engr Mgr 1,66056
Benefits Anl 3,66399
Photographer Prn,66655
Nursery Tchn,67063
Curatorial Supv 2,67528
Television Tchn Sr,67595
Res-Ay-1/9,67992
Recycling Refuse Svc Supv 1,68181
General Svc Other Supv 1,68437
Cement Mason,69169
Pest Cntrl Opr,69601
Television Engr,69727
Advocate 4,70485
Comm And Network Tchl Anl 2,70659
Librarian-Temp Status,71299
Storekeeper Sr Ld,71748
Roofer Ld,72320
Mail Svc Mgr 1,72367
Compensation Anl 5,72408
Lect-Fy,72503
Continuing Appt-Temp Aug-1/9,72703
Employee Rel Repr 3,73547
Procurement Supv 1,74734
Customer Svc Supv 2,74798
Publ Safety Dispatcher Ld,75404
Lab Glassblower Prn,75603
Equip Operating Engr,76202
Recreation Coach Mgr 1,76965
Av IT Supv 2,77261
Stdt Disability Supv 2,77386
Glazier Worker Ld,80345
Recycling Refuse Svc Mgr 1,80578
Assoc Prof-Fy,81000
Av IT Supv 1,81217
Television Tchn Prn,81275
Ath Supv 2,82050
Museum Educ Mgr 1,83028
Project Policy Anl Mgr 1,83288
Ehs Spec 1 Nex,84390
Aerospace Tchn 3,85650
Ombudsperson 4,86432
Police Svc Supv 1,86924
Admissions Recrmt Spec 1,87333
Optometrist 4,88599
Performing Arts Mgr 1,88780
Asst Prof Of Clin-Fy,89411
Field Researcher 4,89453
Exhibitions Mgr 1,89589
EEO Repr 4,90780
Stores Worker,91689
Parking Repr Ld,91755
Parking Ops Enforcement Mgr 1,92510
Dev Tchn 3,92622
Radlg Tchno Sr,92641
Theatrical Prod Supv 1,93350
Data Sys Anl 1,93731
Admin Ast 3,93883
Sheetmetal Worker Ld,94004
Publications Prod Mgr 1,94044
Machinist Worker Ld,94083
Auto Tchn Ast,94409
Broadcast Comm Mgr 1,95609
Psychologist 2,95646
IT Security Anl 3,96542
Health Educator 2,96599
Clin Nurse 3,96861
Project Policy Anl 1,97100
Applications Progr 1,98047
Fac Mgr 3,98742
Financial Anl 1,100808
Hosp Ast 1 Pd,100825
Clin Lab Sci,101622
Stdt Advisor Mgr 2,101645
Planning Spec 4,101645
QA Release Mgt Anl 2,101731
Custodial Mgr 1,102961
Cart Captionist Pd,103392
Insulation Worker Ld,103955
External Rel Spec 1,103962
Career Svc Spec 5,104565
Counsel 3,104788
Reader-Non Stdnt,104917
Lab Ast 4,105103
Contract Adm 2,105164
Clin Lab Mgr 1,105663
Farm Maint Worker Sr,105759
Media Comm Spec 1,105815
Tchl Project Supv 2,106461
Structural Engr 3,106863
Stdt Legal Svc Advisor 3,107313
Coord Public Prog IV,107366
Asst Res-Ay-1/9-B/E/E,107672
Structural Engr 4,108000
Custodian Leader,108506
Assoc Prof Of Clin-Fy,110320
Events Spec 1,111546
Museum Educator 2,111571
Adj Prof-Fy-B/E/E,111637
Rsdt Advisor 2,111800
Assoc Prof In Res-Ay,112543
Clin Lab Sci Spec,112592
Coord Fld Wk-Ay-Continuing,113315
Asst Law Librarian,113931
Stdt Disability Spec 4,114143
Written Comm Mgr 1,114744
Massage Therapist 2,115228
IT Architect 3,115651
Fundraiser 1 Nex,115662
Procurement Anl 1,117232
Museum Educator 3,117664
Scene Tchn Pd,117795
Exec Ast 5,117949
Stdt Disability Mgr 2,118107
Procurement Mgr 1,118118
Phys Plt Laborer Gardener A,118233
Publ Educ Spec 1,118407
Career Svc Spec 2,118858
Stdt Svc Advisor 1,119142
Library Ast 2,119517
Trainer 2,119542
Enterprise Risk Mgr 1,119872
Lifeguard,120138
Enterprise Risk Mgt Anl 2,120276
Clin Nurse Supv 2,120606
Stdt Disability Spec 3,120919
Phys Ther Mgr 1,121943
Fundraising Supv 1,121974
Coord Fld Wk-Fy-Continuing,122201
Bus Sys Anl Mgr 1,122748
Tchl Project Mgt Profl 5,123232
Contract Admst Mgr 1,124437
Theater Prod Spec 4,124502
Hs Asst Clin Prof-Fy,124960
Rsch Cmplnc Anl 2,126372
Admin Nurse Profl 4,128215
Events Crd 2,128357
Lab Rsch Supv 1,129204
VC Rsch,129229
Ath Mgr 2,129977
Ath Mgr 1,130121
Stdt Disability Spec 2,131077
Database Adm 2,131847
Paralegal 2,132440
Labor Rel Mgr 2,132656
Lab Helper,133152
Fld Wk Supv-Fy,133186
Cement Mason Ld,133269
Prof Of Clin-Hcomp,133358
Prof In Res-Ay-B/E/E,134071
Asst Res-Ay-B/E/E,134471
Teacher-Spec Prog-Continuing,134611
Exec Chef 4,134847
External Rel Mgr 2,135122
Act Asst Prof-Ay,135833
Security Guard,135993
Stdt Volunteer,137910
Ombuds Mgr 1,138411
Intellectual Property Mgr 1,138420
Stdt Life Dev Mgr 2,138550
Comm Mgr 3,139849
QA Chef 3,140578
Academic Coord I-Ay,142039
Compensation Mgr 2,142341
Customer Svc Supv 1,142978
Nurse Practitioner Pd,143242
Curatorial Mgr 2,143314
Ehs Tchn Sr,143733
Clin Nurse Mgr 2,145200
Assoc Librarian-Temp Status,145261
Cart Captionist,145768
Supv Pe-Ay,146393
K To 14 Acad Prep Mgr 3,146421
Audit Mgr 2,147148
High Volt Electrn Ld,147174
Continuing Educator I,147248
Library Ast 1,147784
Events Supv 1,148894
Recreation Prg Instr 3,149078
Nursery Tchn Sr,149470
Gen Accountant 2,149533
Intellectual Property Ofcr 2,149589
Stdt Svc Mgr 3,149638
Food Svc Mgr 3,149793
Career Svc Mgr 3,151097
Inspection Mgr 3,151375
Comm Mgr 2,152525
Lect-Ay-1/9-Continuing,152587
Assoc Prof Of Clin-Hcomp,153347
Acad HR Mgr 3,154073
Ombudsperson 3,154398
Library Bookbinder Sr,154510
Groundskeeper,155140
Financial Aid Mgr 3,155361
Health Educator 5,156975
Marketing Supv 2,157017
Publ Educ Mgr 1,157366
Elevator Mech Ld,157456
Asst Univ Librarian,158956
Mail Processor Sr,160837
Employee Rel Mgr 2,160980
Exhibitions Spec 4,161017
Pharmacy Mgr 1,161224
Library Bookbinder,161250
Artist Sr,161524
Registrar Collection Supv 2,161529
User Experience Designer 3,162554
Editor,162787
Procurement Mgr 3,163600
Pharmacy Tchn 1,164167
Physcn Mgr 2,164772
Stdt Disability Supv 1,167064
Univ Prof,168213
Marketing Supv 1,169511
Counseling Psychology Mgr 2,169913
Employment Repr 4,171194
Child Dev Ctr Teacher 1 Pd,171918
Auto Equip Opr Prn,172691
Postdoc-Fellow,172945
Food Svc Worker Prn,173779
IT Security Mgr 2,173931
Ehs Mgr 3,174829
Spectroscopist,175242
Const Insp 5,176196
Institutional Rsch Mgr 3,176458
Recreation Prg Instr 1,176460
Enterprise Risk Mgr 2,177529
Admissions Recrmt Mgr 3,177886
Asst Specialist Coop Ext,178717
Electr Tchn,179288
Insulation Worker,180995
Recreation Prg Leader 3,181755
Recreation Prg Leader 2,182473
Assoc Res-Ay,182684
Benefits Anl 4,185013
Stdt Disability Mgr 1,185136
Rsch Cmplnc Mgr 3,186038
Hs Assoc Clin Prof-Ay,187301
HR Mgr 2,187446
