Position,Count
Acad HR Anl 2,2
Acad HR Anl 3,2
Acad HR Mgr 1,1
Academic Administrator III,3
Academic Administrator IV,1
Academic Administrator V,1
Academic Administrator VI,5
Academic Administrator VII,17
Academic Appt,15
Academic Coord I-Ay,3
Academic Coord I-Fy,20
Academic Coord II-Ay,2
Academic Coord II-Fy,54
Academic Coord III-Fy,13
Accelerator Opr Prn,1
Access Repr Prn,81
Access Repr Sr,7
Access Repr Sr Pd,1
Access Supv,5
Accountant 1,10
Accountant 2 Ex,5
Accountant 3,5
Accountant 4,1
Accountant 4 Supv,3
Accountant 5,2
Act Assoc Prof-Hcomp,1
Act Prof-Ay-Law,3
Act/Interim Dean,5
Act/Interim Director,1
Adj Prof-Ay-B/E/E,1
Adj Prof-Fy,6
Adj Prof-Fy-B/E/E,2
Adj Prof-Hcomp,12
Adj Prof-Sft-Vm,2
Adm Crd Ofcr,54
Adm Crd Ofcr Asc,2
Admin Ast 3,1
Admin Mgr 1,2
Admin Mgr 3,2
Admin Mgr 4,3
Admin Nurse,14
Admin Nurse 2 Nex,176
Admin Nurse 4,65
Admin Ofcr 2,10
Admin Ofcr 3,7
Admin Ofcr 4,1
Admin Spec 1,21
Admin Spec 1 Supv,25
Admin Spec 2 Supv,14
Advocate 3,2
Advocate 4,1
Agricultural Tchn,22
Agricultural Tchn Prn,23
Agricultural Tchn Sr,16
Agriculture Mgr 1,1
Agriculture Supt Prn,8
Agriculture Supt Sr,12
Agriculture Supv 1,4
Agriculture Supv 2,9
Agron Aes,69
Agron Aes-B/E/E,12
Agron Aes-Sft-Vm,1
Airport Svc Worker,1
Alarm Electrn Ld,1
Anesthesia Nurse Prn,1
Anesthesia Tchn,2
Anesthesia Tchn 2,18
Anesthetist Nurse Sr Ex,27
Angiography Tchno,7
Angiography Tchno Ld,1
Angiography Tchno Pd,1
Anl 1,297
Anl 1 Supv,20
Anl 10,2
Anl 10 Supv,3
Anl 2,361
Anl 2 Supv,50
Anl 3,291
Anl 3 Supv,72
Anl 4,213
Anl 4 Supv,76
Anl 5,182
Anl 5 Supv,63
Anl 6,173
Anl 6 Supv,55
Anl 7,137
Anl 7 Supv,57
Anl 8,58
Anl 8 Supv,46
Anl 9,5
Anl 9 Supv,11
Applications Prg Supv 2,1
Applications Prg Supv 2 Anr,1
Applications Progm Mgr 1,1
Applications Progr 1,4
Applications Progr 2,23
Applications Progr 3,48
Applications Progr 4,43
Applications Progr 5,11
Architect Prn,3
Architect Sr,1
Architect Sr Supv,2
Architectural Asc Ex,2
Architectural Asc Nex,1
Architectural Asc Prn Supv,1
Architectural Asc Sr,5
Art Model,9
Art Therapist,2
Artist,2
Artist Sr,22
Artist Sr Supv,1
Asc Physcn,211
Asc Physcn Diplomate,125
Assoc Adj Prof-Ay,1
Assoc Adj Prof-Ay-B/E/E,1
Assoc Adj Prof-Fy,3
Assoc Adj Prof-Hcomp,21
Assoc Agron Aes,8
Assoc Agron Aes-Sft-Vm,1
Assoc Coop Ext Advisor,19
Assoc Dean,33
Assoc In __ -Ay-1/9-Gship,253
Assoc In ____-Ay-Gship,1
Assoc Librarian -Career Status,8
Assoc Prof In Res-Hcomp,18
Assoc Prof Of Clin-Fy,17
Assoc Prof Of Clin-Hcomp,46
Assoc Prof-Ay,156
Assoc Prof-Ay-B/E/E,41
Assoc Prof-Fy,29
Assoc Prof-Fy-B/E/E,4
Assoc Prof-Hcomp,32
Assoc Prof-Sft-Vm,21
Assoc Proj Scientist-Fy,56
Assoc Proj Scientist-Fy-B/E/E,10
Assoc Res-Ay,3
Assoc Res-Ay-B/E/E,1
Assoc Res-Fy,31
Assoc Res-Fy-B/E/E,3
Assoc Res-Sft,2
Assoc Specialist,40
Assoc Specialist Aes,1
Assoc Specialist Coop Ext,7
Assoc Vice Provost,2
Asst Adj Prof-Ay,1
Asst Adj Prof-Ay-B/E/E,3
Asst Adj Prof-Fy,4
Asst Adj Prof-Fy-B/E/E,1
Asst Adj Prof-Hcomp,25
Asst Adj Prof-Sft-Vm,2
Asst Agron Aes,4
Asst Agron Aes-Ay,1
Asst Agron Aes-Ay-B/E/E,2
Asst Agron Aes-B/E/E,1
Asst Coop Ext Advisor,37
Asst Librarian-Potntl Career,2
Asst Librarian-Temp Status,1
Asst Prof In Res-Hcomp,13
Asst Prof In Res-Sft-Vm,1
Asst Prof Of Clin-Fy,23
Asst Prof Of Clin-Hcomp,73
Asst Prof-Ay,138
Asst Prof-Ay-1/9-B/E/E,1
Asst Prof-Ay-B/E/E,34
Asst Prof-Fy,8
