Position,Wages,Count
Clin Instr-Vol,250,1
Nurse Practitioner Supv 2 Ex,475,1
Lifeguard,525,1
Clin Prof-Vol,1000,1
Gi Endoscopy Tchn 2 Pd,1027,1
Cmty Svc Case Mgr,1533,2
Speech Pathologist Sr Pd,1697,1
Lect Soe-Emeritus(Wos),1750,1
Visitor-Undergraduate (Wos),1900,1
Voc Nurse,2052,3
Reader-Non Gship/Non Rep,2145,1
Occupational Ther Cert Ast 2,2501,1
Patient Rcds Abstractor 4 Pd,2956,1
Admin Ast 3,2975,1
Res-Ay-1/9,3000,1
Driver,3168,3
Stdt 4 Anr,3175,1
Rsch Data Anl 2,3586,2
Producer Dir Ast,3609,1
Airport Svc Worker,3967,1
Assoc In ____-Ay-Gship,4489,1
Recreation Ther 1 Ex,4709,1
Veterinarian Sr Pd,5000,1
Prof Emeritus(Wos),5250,4
Tchn 1,5764,1
Art Model,6084,9
Librarian-Potntl Career Status,7354,1
Sterile Processing Tchn 1 Pd,7969,3
Parking Ops Spec 2,8069,1
Ultrasound Tchno Pd,8104,2
Continuing Educator I,8427,1
Non-Senate Acad Emeritus(Wos),8757,4
Cyto Tchno Pd,8850,1
Home Health Aide Pd,9551,2
Fire Fighter Stdt Rsdt Sr,9718,5
Genetic Cnslr Pd,9856,1
Vst Professor-Acad Yr-1/9 Pmt,10500,1
Lect-Miscellaneous/Part Time,10539,3
Vst Assoc Professor-Fiscal Yr,11056,2
Patient Escort Pd,11886,2
Fac Mgt Spec 4,12253,1
Ast Fire Chf Mgr 1,12869,1
Access Repr Sr Pd,13131,1
Patient Rcds Abstractor 3 Pd,13841,1
Survey Researcher 2,14272,2
Prof-Ay-Bus/Econ/Eng-Recalled,16518,1
Financial Svc Anl 4,17500,1
Stage Helper,17633,6
Hosp Med Transcriber Sr Pd,18026,1
Fire Fighter Stdt Rsdt,18207,10
Assoc Adj Prof-Ay,18359,1
Case Mgr Social Worker Pd,18491,1
Postdoc-Fellow,18508,6
Patient Biller 3 Pd,18598,2
Dietitian 1 Ex,19091,2
Vst Assoc Professor-Ay-1/9Th,20000,2
Professor Recalled-Acad Yr-1/9,21618,2
Surgical Tchn Pd,21806,1
Architectural Asc Nex,22015,1
Angiography Tchno Pd,22145,1
Assoc Adj Prof-Ay-B/E/E,23000,1
Survey Worker Sr,23047,2
Financial Anl 3,23333,1
Scene Tchn Ast,23410,7
Asst Prof-Ay-1/9-B/E/E,23680,1
Engr Ast,24064,1
Occupational Ther Cert Ast 3,24887,1
Vst Asst Professor-Acad Yr-1/9,25000,1
Radlg Tchno Prn Pd,25054,2
Ct Tchno Pd,25066,3
Prof-Ay-1/9-Bus/Econ/Eng-Recal,25197,1
Stdt Volunteer,25299,104
Phlebotomist Cert Tchn 2 Pd,25430,3
Auditor 3,25454,2
Writer Ast,26086,23
Rsdt Dir 1,26600,6
Vstg Ast Pro-Ay-Bus/Econ/Engr,26667,1
Adj Prof-Ay-B/E/E,26767,1
Non Evaluated Msp,27069,1
Vstg Prof-Acad Yr-Bus/Econ/Eng,28000,1
Nuc Med Tchno Sr Pd,28079,2
Rsdt Advisor,28111,6
Occupational Ther 2 Pd,28355,1
Blank Ast 3 Pd,29425,1
Radlg Ast Pd,30240,5
Television Tchn Prn Supv,30506,1
Visiting Professor - Fiscal Yr,30580,1
Ath Profl 1,30954,4
Dentist Diplomate Asc,31080,1
Res-Ay-1/9-B/E/E,31666,2
Wardrobe Tchn Sr,32359,1
Cook Sr Supv,32377,2
Blank Ast 1 Pd,32409,1
Asst Librarian-Temp Status,33508,1
Clin Lab Sci Pd,33567,3
Stdt Svc Advisor 3,33572,1
Res Assoc(Wos),33825,4
Supv Teacher Ed-Ay-Continuing,33944,1
Engr Aid,34100,1
Rsch Data Anl 3,34704,2
Translator Tchl,34962,2
Med Ctr Electr Tchn Trainee,35010,1
Pulmonary Tchn Pd,35500,3
Vis Assoc Proj Scientist,35909,1
Custodian Ast Supv,37066,1
Stdt 2 Non Uc,38158,25
Continuing Appt-Temp Aug-1/9,38482,1
Groundskeeper Ld,38640,1
Act Assoc Prof-Hcomp,39936,1
Written Comm Supv 2,40058,1
Ath Profl 2,40743,1
Med Ofc Svc Crd 3 Pd,41084,4
Pharmacy Tchn 3 Pd,41218,1
Fundraiser 2 Nex,41270,1
Reader-Non Stdnt,41682,13
Social Worker 1,41703,2
Child Life Spec 1 Pd,41760,3
Vis Assoc Prof,41804,3
Physcn Ast Pd,41921,1
Med Ctr Storekeeper,42054,1
Engr Aid Sr,42780,1
Publ Events Mgr Ast,43252,4
Med Ctr Cook Pd,43572,2
Custodian Supv,43912,1
Patient Biller 1,44055,1
Events Spec 4,44463,1
Phlebotomist,44567,1
Compensation Anl 2,44648,1
Buyer 1,45922,1
Security Guard Sr,45961,1
Phys Ther Ast 3,46026,1
Museum Preparator Prn,46357,1
Assoc Specialist Aes,46384,1
Geographic Info Sys Progr 1,46768,1
Radlg Ast 2,47770,1
Collections Repr Sr,48136,1
Fac Mgt Spec 2,48149,1
Photographer,48386,1
Auto Equip Opr Sr Pd,48783,3
Tchl Project Mgt Profl 1,49300,1
Food Svc Mgr,49691,1
Farm Mach Mech Ast,50039,1
Field Rsch Supv 1,50150,1
Visual Comm Supv 2,50178,1
Social Worker 2 Pd,50647,3
Publ Info Repr,51099,1
Mental Health Ther Supv,51353,1
Fac Mgt Spec 3,51569,1
External Rel Spec 1,52197,1
External Rel Spec 5 Anr,52397,1
Teachg Asst-Non Gship,52827,5
Landscape Architect Ast,53259,3
Ehs Spec 1 Nex,53900,1
Hvy Duty Equip Tchn Ast,53955,1
Museum Sci Prn Supv,54046,1
Security Guard Sr Supv,54317,1
Art Therapist,55015,2
Pest Cntrl Opr,55024,1
Financial Anl 2,55199,1
Parking Repr Ld,55307,1
Career Svc Spec 2,55523,2
Photographer Sr,55580,1
Phys Plt Opr Supv,55580,1
Resp Ther Pd,56206,1
Lrng Skls Cnslr,56288,8
Patient Rcds Abstractor 1,56650,1
Writer,56705,2
Reprographics Tchn Ld,57029,1
Stdt 3 Anr,57119,12
Asst Res-Ay,57214,2
Storekeeper Ast,57463,2
Museum Sci Sr Supv,57575,1
Cmty Educ Mgr 1,57611,1
Material Crd,57647,1
Publ Educ Spec 4,57781,1
Trainer 3,57867,1
Food Svc Worker Pd,58172,5
Cook Ast,58349,7
Artist,58516,2
Cmty Educ Spec 4,58836,1
Theater Prod Supv Sr Ex,59589,1
Prod Cntrl Anl 2,59808,1
User Experience Designer 4,60022,1
Parking Ops Enforcement Supv 1,60642,1
Publ Crd Sr,60653,1
Police Ofcr 1,61184,3
Recreation Supv Ast,61778,3
Bus Sys Anl 2 Nex,61826,1
Publications Prod Spec 4,61926,1
Stdt Affairs Ofcr 1 Supv,62329,2
Events Spec 2,63045,1
Music Ther Nex,63131,1
Orthopedic Tchn Prn,63207,1
Illustrator Sr,64342,2
Labor Rel Repr 3,64363,1
Advocate 4,64422,1
Publications Prod Supv 2,65606,1
Rsch Adm 2,65608,1
Operating Room Ast Pd,66012,3
Procurement Mgr 1,66080,1
Skld Crafts And Trades Supv 2,66518,2
Counseling Psychologist 1 Ex,66536,1
Ath Trainer Supv,66675,1
Publ Educ Spec 3,67216,2
Hosp Blank Ast 2 Supv,67325,1
Tree Trimmer Ld,67601,1
Gen Accountant 3,67621,1
Storekeeping Supv 1,67808,1
Dev Engr Ast Supv,68359,1
Sys Admst Mgr 1,69070,1
Mri Tchno Pd,69807,4
Lab Glassblower Prn,69851,1
Geographic Info Sys Supv 2 Anr,70498,1
Database Adm 3,70576,2
HR Generalist 3,71017,1
Hosp Lab Tchn 2 Supv,71200,1
Laundry Machine Opr,71296,2
Food Svc Mgr Prn,71555,1
Progr 3 Supv,71697,1
Phys Plt Mech 3,72055,1
Lect-Fy,72077,2
Parking Supv Prn,72195,1
Accountant 4,72237,1
Financial Aid Ofcr 2,72279,1
EEO Repr 3,72604,1
Stdt 4 Non Uc,73780,19
Psychometrist,74066,4
Dietetic Ast Pd,74103,6
Lrng Skls Cnslr Ast,74148,14
Gi Endoscopy Tchn 3,74189,1
