,Position,Wages,Count
374,Staff Physcn,257,1
36,Art Model,639,5
332,Reader-Non Gship/Non Rep,823,2
361,Sound Tchn,952,1
356,Scene Tchn,1069,1
394,Stdt Health Dentist 4 Pd,1313,1
124,Consulting Physcn Shs,1340,2
239,Lect-Miscellaneous/Part Time,1500,2
51,Assoc Res-Ay-1/9-B/E/E,1675,1
74,Auto Attendant,1722,1
140,Deaf Translator Interpreter,1983,1
439,Wardrobe Tchn,3203,2
104,Clin Lab Sci Pd,3469,1
380,Stdt 3 Non Uc,3946,2
193,Faculty Consultant,3953,2
283,Photographer,5806,2
357,Scene Tchn Ast,6673,2
319,Publ Events Mgr Ast,6995,1
382,Stdt 4 Non Uc,7175,2
414,Teacher-Spec Prog,7866,2
23,Admin Stipend,8050,2
176,Ehs Tchn,8093,1
269,Musician Sr,8333,2
423,Unclassified,9182,4
57,Asst Adj Prof-Ay,9336,2
157,Dev Tchn 1,10270,1
97,Camp Cnslr,10886,3
409,Stores Worker,13566,1
262,Museum Preparator Prn,15680,2
337,Recall Teaching Non-Senate,16336,1
309,Producer Dir Ast,16408,3
168,Educ Fac Planner Sr,18037,1
301,Police Trainee,18055,1
274,Optometrist Nex,19315,1
292,Planner Asc,20000,1
208,Gsr-Full Fee Rem,20862,1
347,Res-Ay-1/9,20905,1
432,Vis Assoc Res,22138,3
102,Clerk Sr Or Secr,23043,2
333,Reader-Non Stdnt,24416,6
399,Stdt Health Physcn 5 Pd,24790,1
247,Lifeguard,26258,5
225,Lab Helper,26792,2
15,Adj Prof-Ay,28790,1
267,Musician,29243,6
344,Remd Tut II-Gship,29323,5
400,Stdt Intern,29670,7
224,Lab Ast 4,30653,3
418,Teachg Fellow-Gship,30703,1
273,Ombudsman-Acad,33739,1
395,Stdt Health Physcn 3 Pd,33891,2
264,Museum Sci Ast,34310,1
435,Vis Asst Res,34652,2
86,Bldg Maint Supv,34925,1
268,Musician Prn,35056,1
397,Stdt Health Physcn 4 Pd,37811,1
440,Wardrobe Tchn Sr,38349,1
359,Security Guard,38844,1
201,Food Svc Worker,39283,1
107,Clin Social Worker 2,40235,2
402,Storekeeper,40777,1
220,Key Entry Opr,41672,1
108,Clin Social Worker 3,41836,1
438,Voc Nurse Sr,42832,2
35,Architectural Asc Nex,44064,1
441,Writer,44078,1
12,Accountant Ast,45459,1
87,Bldg Maint Worker,47128,4
316,Publ Crd,47671,2
71,Auditor 1,48821,1
226,Lab Mechn,49226,1
59,Asst Librarian-Potntl Career,49351,1
308,Producer Dir,50104,1
255,Mail Svc Supv,50159,1
16,Adj Prof-Ay-B/E/E,50801,1
139,Data Proc Prod Crd Sr,51219,1
60,Asst Librarian-Temp Status,51327,1
424,Univ House Mgr,51661,1
137,Custodian Prn Supv,52762,1
408,Stores Supv Sr,53566,1
207,Groundskeeper Sr Ld,53567,2
339,Recreation Supv Prn,54351,1
352,Rsdt Advisor,54903,3
305,Prg Repr 2,55129,2
177,Ehs Tchn Prn,55270,1
307,Prg Repr 3 Supv,55985,1
250,Lrng Skills Cnslr Sr Nex,56430,1
18,Admin Anl,57470,1
111,Collections Repr Sr,58566,2
407,Stores Supv,59322,1
121,Computer Resc Spec 1,59694,2
227,Lab Mechn Prn,59769,1
194,Faculty Recruitment Allow,62700,1
434,Vis Asst Proj Scientist,63403,3
303,Prg Promotion Mgr 1,64861,1
291,Piano Tchn,64956,1
41,Assoc Adj Prof-Ay,65805,3
135,Custodian,67876,4
120,Computer Ops Supv Sr,67963,1
171,Ehs Spec 2 Supv,68690,1
165,Editor,68851,5
341,Reg Dental Ast,69194,1
324,Publ Info Repr Supv,69417,1
289,Phys Ther Ast 2,69466,1
175,Ehs Spec Supv,69657,1
122,Const Insp Ast,69830,1
78,Auto Tchn Supv,69838,1
266,Museum Sci Sr,69960,1
358,Scene Tchn Sr,71015,7
422,Theater Prod Supv Sr Ex,71072,2
304,Prg Promotion Mgr 2,71998,1
437,Vis Res,72229,6
306,Prg Repr 3,72839,1
191,Fac Requirements Anl Sr,73037,1
91,Budget Anl Sr,74148,1
109,Clin Social Worker Chf Asc,75621,2
166,Editor Prn,75854,2
0,Academic Appt,76574,8
328,Publications Mgr Supv,77340,1
327,Publications Mgr,77577,1
50,Assoc Res-Ay,79642,1
129,Cook Ast,80104,2
22,Admin Nurse 3,82194,1
326,Publ Safety Dispatcher Ld,82571,1
125,Continuing Appt-Temp Aug,83851,2
249,Locksmith Ld,84470,1
378,Stdt 2 Non Uc,85038,33
134,Craft Zone Sr Ld,85145,1
96,Buyer Prn,85253,1
317,Publ Crd Sr,85351,3
75,Auto Equip Opr Sr,85618,2
152,Dev Engr Sr Supv,86768,1
72,Auditor 3,87998,1
73,Auditor 4,88767,1
144,Dental Ast,89158,2
412,Tchn,89738,3
261,Mri Tchno,90706,1
24,Advocate 3,91015,2
37,Artist,91716,4
11,Accountant 4 Supv,92647,1
413,Tchn Sr,94525,2
173,Ehs Spec 3 Supv,94658,1
282,Phlebotomist,95447,2
241,Librarian-Potntl Career Status,95596,1
105,Clin Lab Sci Spec Supv Sr Nex,97782,1
376,Stdt 1 Non Uc,97940,22
185,Engr Asc Supv,98085,1
406,Storekeeper Sr Supv,98242,2
1,Academic Coord I-Ay,98730,2
320,Publ Events Mgr Prn Supv,98854,1
136,Custodian Ld,98855,2
148,Dev Engr Asc Supv,99073,1
8,Accountant 2 Ex,99488,3
164,Director-Eap Study Center,100776,1
213,Hosp Blank Ast 2,103104,2
