Position,Wages,Count
Admin Stipend Nex,107,1
Speaker-Unex,500,1
Physcn Ast Pd,675,1
Reader-Non Stdnt/Non Rep,737,1
Phlebotomist Pd,741,1
Veterinarian Lam Asc,826,1
Postdoc-Fellow,953,2
Admin Stipend Ex,1000,1
Telescope Tchn,1527,2
Tut-Non Stdnt/Non Rep,2432,1
Museum Preparator,2814,1
Vis Assoc Prof,3000,1
Continuing Appt-Temp Aug,3063,1
Stdt Volunteer,4227,12
Prof Emeritus(Wos),5000,1
Vst Assoc Professor-Ay-1/9Th,5001,1
House Mgr Ast,5455,1
Tut-Non Gship,7413,4
Stdt Health Physcn 5 Pd,8045,1
Unclassified,9000,3
Progr Anl 1,9072,1
Teacher-Spec Prog-Continuing,9405,1
Assoc Adj Prof-Fy-B/E/E,9508,1
Vst Professor-Acad Yr-1/9 Pmt,11000,1
Scene Tchn Ast,11385,2
Lrng Skls Cnslr Ast,11448,1
Photographic Tchn,12915,1
Progr Anl 4 Supv,12947,1
Vis Asst Proj Scientist,13500,1
Food Svc Crd,14419,2
Fire Chf,15479,1
Vis Asst Res,16206,2
Publ Crd,16507,1
Prg Repr 1,16676,1
Bioinformatics Progr 1,19083,1
Comm And Network Tchl Mgr 1,19886,1
Progr Anl 3 Supv,19995,1
Vstg Prof-Ay-1/9-Bus/Econ/Engr,20552,1
Key Entry Opr,22033,1
Coord Fld Wk-Fy,22438,1
Reader-Gship,22576,5
Museum Preparator Prn,22967,1
Lect Psoe-Ay-100%,23772,1
Wardrobe Tchn,23826,2
Key Entry Opr Ld,24172,1
Data Sys Anl 2,24671,1
Key Entry Supv 1,24916,1
Asst Adj Prof-Ay,26208,1
Sra 5,27500,1
Visiting Professor - Fiscal Yr,28813,1
Academic Appt,29167,6
Vis Assoc Res,29416,5
Food Svc Supv,30894,1
Theater Prod Supv,31274,1
Piano Tchn,32312,1
Writer Sr,36042,1
Med Ast Pd,37169,2
Teachg Asst-Non Gship,37876,5
Equip Opr,38085,2
Registrar,38094,1
Clin Lab Sci Spec Pd,39735,1
Theater Prod Supv Sr Ex,40784,1
Academic Asst To Chanc,41058,1
Vis Proj Scientist,41075,2
Window Cleaner,41299,1
Phlebotomist,41332,2
Agricultural Tchn Prn,41649,1
Nurse Practitioner Pd,42150,3
Parking Repr Sr,44351,1
Wardrobe Tchn Prn,44402,1
Lrng Skills Cnslr Sr Nex,44543,8
Pharmacist Pd,44684,3
Personnel Anl Ast,44796,1
Elected Ofcr Stdt Government,45804,7
Material Planner,45950,1
Geographic Info Sys Progr 2,46541,1
Dev Tchn 3,47006,1
Tchn Sr,47028,1
Electr Tchn,47404,2
Comm And Network Tchl Anl 1,47737,2
Publ Info Repr,48447,1
Database Adm 2,49925,1
Act Asst Prof-Ay-B/E/E,51049,1
Bldg Maint Worker Ld,51286,1
Irrigation Spec,51883,1
Lab Ast 3 Supv,52350,1
Collections Repr Sr,52760,1
Asst Librarian-Potntl Career,53116,1
Dev Tchn 4,53681,1
Producer Dir Ast,54211,2
Recording Tchn,54737,1
EHS Tchn Prn,54789,1
Clin Lab Sci Spec,54825,1
Musician Sr,55410,9
Progr Anl 2,56026,2
Assoc Librarian-Potntl Career,56037,1
Museum Sci Sr Supv,56922,1
Tchn,57192,3
Admin Ofcr 2,58117,1
Reprographics Supv,58203,1
Irrigation Spec Ld,59187,1
Producer Dir Prn,59535,1
Assoc In ____-Ay-Gship,59571,10
Collections Mgr,59965,1
Custodian Prn Supv,60029,1
Mgr Asc,60566,1
Fac Requirements Anl Sr,60712,2
Agricultural Tchn Sr,61469,3
Academic Coord III-Fy,62066,1
Pharmacy Tchn 2,62153,4
Voc Nurse Sr,62998,2
Lab Mechn Sr,63326,1
Editor Prn,63633,1
Parking Repr Ld,64116,1
Radlg Tchno Sr,64162,2
Marine Tchn 2 Nex,64787,1
Storekeeper Sr Ld,64907,1
Av IT Spec 3,65113,1
Fac Mgt Spec 2,65438,1
Auto Equip Opr Prn Supv,66624,1
Assoc Supv Pe-Ay,67175,1
Recreation Supv Prn,67371,1
Vis Res,67811,4
Publ Events Mgr Supv Nex,67918,2
Prg Repr 3 Supv,68050,2
Sra 4 Supv,68190,1
Nurse Practitioner 3,68510,1
Clin Applications Profl 2,68991,1
Buyer 4,69162,1
Supv Teacher Ed-Ay-Continuing,69395,1
Accountant Ast,71043,2
Lab Mechn Prn,71645,1
Child Dev Ctr Crd Supv,71790,1
Qa Release Mgt Supv 2,71918,1
Artist,72115,2
