,Position,Wages,Count
214,Clin Instr-Vol,200,1
967,Writer,883,1
680,Physcn 3,1428,1
92,Assoc Clin Prof-Vol,1799,1
899,Survey Worker Sr,2590,1
578,Language Ast,3486,2
70,Agricultural Tchn Sr,4780,1
50,Admin Stipend,4830,3
122,Asst Clin Prof-Vol,5469,2
151,Ath Trainer 2,5638,1
623,Military/Air Sci&Tactics Asst,6234,5
570,Lab Mechn Helper,6280,1
634,Musician 1,6669,1
360,Enterprise Risk Mgt Anl 1,6915,1
413,Faculty Recruitment Allow,8056,1
556,K To 14 Acad Prep Spec 1,8932,1
40,Admin Ast 2,9064,1
963,Visiting Professor - Fiscal Yr,10000,1
133,Asst Res-Ay-1/9,10000,1
588,Lect-Miscellaneous/Part Time,11104,4
490,HR Mgr 3,11111,1
314,Department Chair,11373,1
721,Professor Recalled-Acad Yr-1/9,12000,1
722,Professor-Acad Yr-Recalled,12500,1
856,Stdt Health Physcn 3 Pd,12841,1
37,Adj Prof-Fy,13333,1
435,Financial Svc Anl 1,13695,1
711,Prof Emeritus(Wos),14590,2
352,Employment Mgr 1,14631,1
170,Bibliographer 2,14662,3
530,Info Sys Anl 1,15771,2
778,Remd Tut II Non-Gship/Non Rep,16118,3
885,Storekeeper Ast,16780,4
141,Ath Intern,16869,2
263,Cook Ast,16873,4
265,Coop Ext Advisor,17133,1
673,Photographic Tchn Sr,17907,2
330,Editor Ast,19158,2
88,Assoc Adj Prof-Ay-1/9-B/E/E,19408,1
35,Adj Prof-Ay-1/9-B/E/E,19668,1
112,Assoc Res-Ay-1/9,21482,2
343,Electr Tchn Prn,22282,2
324,Drafting Tchn Prn,22556,1
668,Pharmacist Pd,22617,3
278,Counseling Psychologist 2,24283,1
225,Clinic Ops Supv 1,26169,1
84,Artist,26668,2
69,Agricultural Tchn,27711,3
886,Storekeeper Ld,28196,1
217,Clin Lab Sci Pd,28448,3
910,Tchl Project Mgr 3,30219,1
766,Recreation Prg Instr,31757,13
865,Stdt Life Dev Spec 1,31868,2
754,Radlg Tchno Pd,34327,5
808,Scene Tchn Ast Pd,35248,28
964,Visual Comm Mgr 1,36000,1
966,Vst Professor-Acad Yr-1/9 Pmt,37500,1
732,Psychologist 1,37781,4
749,QA Release Mgt Anl 1,38250,1
178,Broadcast Comm Spec 1,38871,1
367,Equip Operating Engr Worker Ld,39015,1
326,Early Childhood Educ Mgr 2,39359,1
782,Res-Ay-1/9-B/E/E,39453,1
448,Fld Wk Consult-Fy,40240,1
417,Field Rsch Supv 1,40305,1
269,Coord Public Prog III,41185,2
672,Photographer Sr,41850,1
635,Musician 2,41879,13
625,Museum Educ Supv 1,42573,1
678,Phys Ther 4,43785,1
820,Sound Tchn,43814,1
266,Coord Fld Wk-Ay,44816,1
740,Publ Educ Supv 2,45000,1
245,Computer Resc Spec 1,45040,6
473,Glazier,45272,1
499,Health Educator 3,46578,2
724,Proj Scientist-Fy-B/E/E,46976,2
504,Hosp Ast,47492,1
900,Sys Adm 1,47804,1
401,Fac Mgt Spec 1,48287,1
483,HR Ast 2,48786,1
686,Planning Spec 2,48979,2
163,Av IT Spec 3,49433,7
529,Illustrator Sr,50104,1
926,Television Tchn,50878,1
938,Tree Trimmer Ld,51017,1
39,Admin Ast 1,52298,2
898,Survey Worker,52386,17
180,Bus Sys Anl 1 Nex,52611,1
212,Clerk,53707,7
945,User Experience Designer 2,54980,1
798,Rsch And Dev Engr Supv 2,55575,1
31,Act Instr-Grad Stdnt-Gship,56668,3
179,Broadcast Comm Supv 1,56809,1
762,Recording Tchn,57295,1
753,Radlg Tchno,57351,1
616,Med Rcds Tchn,57884,1
387,Exhibitions Supv 1,58555,1
636,Musician 3,59293,9
747,Publications Prod Supv 1,60238,1
6,Acad HR Anl 1,60358,2
497,Health Educator 1,62319,2
224,Clinic Ops Adm 4,62479,1
365,Enterprise Risk Supv 2,62538,1
779,Res ---- - Recalled,63428,1
929,Theater Prod Spec 2,63830,1
937,Tree Trimmer,64129,1
567,Lab Instruction Supv 1,64170,1
731,Projectionist Sr,64277,3
551,Irrigation Mech Ld,64700,1
315,Department Vice Chair,65000,1
475,Government Rel Spec 3,65438,1
506,Hosp Ast Sr,66050,3
161,Av IT Engr Mgr 1,66056,1
168,Benefits Anl 3,66399,2
671,Photographer Prn,66655,1
642,Nursery Tchn,67063,2
287,Curatorial Supv 2,67528,1
928,Television Tchn Sr,67595,1
781,Res-Ay-1/9,67992,4
775,Recycling Refuse Svc Supv 1,68181,1
472,General Svc Other Supv 1,68437,1
204,Cement Mason,69169,1
667,Pest Cntrl Opr,69601,1
925,Television Engr,69727,1
61,Advocate 4,70485,3
229,Comm And Network Tchl Anl 2,70659,1
591,Librarian-Temp Status,71299,1
888,Storekeeper Sr Ld,71748,1
786,Roofer Ld,72320,1
607,Mail Svc Mgr 1,72367,2
243,Compensation Anl 5,72408,1
587,Lect-Fy,72503,3
