Position,Wages
Acad Achievement Cnslr 2,273835
Acad Achievement Cnslr 3,522482
Acad Achievement Cnslr 4,983415
Acad Achievement Cnslr 5,169123
Acad Achievement Mgr 1,302419
Acad Achievement Supv 2,158421
Acad HR Anl 1,59538
Acad HR Anl 2,1700873
Acad HR Anl 3,1737427
Acad HR Anl 4,691694
Acad HR Anl 5,291276
Acad HR Mgr 1,668777
Acad HR Mgr 3,147772
Acad Prg Mgr 2,1153823
Acad Prg Mgt Ofcr 4,4066106
Acad Prg Mgt Ofcr 5,3398985
Academic Administrator Vi,223148
Academic Administrator Vii,1131974
Academic Coord I-Ay,516620
Academic Coord I-Fy,3124558
Academic Coord II-Ay,259174
Academic Coord II-Fy,6501250
Academic Coord III-Ay,65768
Academic Coord III-Fy,955522
Accountant 2 Nex,361166
Accountant 3,1726699
Accountant 4,585624
Accountant 5,256192
Accounting Mgr 1,210729
Accounting Mgr 2,94651
Accounting Mgr 3,226162
Accounting Mgr 4,214443
Accounting Supv 2,376783
Act Assoc Prof-Ay-B/E/E,119131
Act Asst Prof-Ay,87783
Act Asst Prof-Ay-B/E/E,118742
Act Instr-Grad Stdnt-GSHIP,97506
Act Instr-Grad Stdnt-Non-GSHIP,4298
Act Prof-Ay-Law,2739316
Act/Interim Assoc Dean,207291
Adj Prof-Ay,2783864
Adj Prof-Ay-1/9-B/E/E,18711
Adj Prof-Ay-B/E/E,498183
Adj Prof-Fy,34010
Adj Prof-Fy-B/E/E,104467
Admin Ast 1,44056
Admin Ast 2,19457
Admin Ast 3,55364
Admin Mgr 1,5597623
Admin Mgr 2,2701008
Admin Mgr 3,2153506
Admin Mgr 4,1248221
Admin Nurse 4,114435
Admin Ofcr 2,6419230
Admin Ofcr 3,5297266
Admin Ofcr 4,2729483
Admin Stipend,5833
Admin Supv 1,637021
Admin Supv 2,1108458
Admissions Evaluator 3,287788
Admissions Recrmt Mgr 1,542039
Admissions Recrmt Mgr 3,166837
Admissions Recrmt Spec 1,32610
Admissions Recrmt Spec 2,1084157
Admissions Recrmt Spec 3,2396503
Admissions Recrmt Spec 4,784962
Admissions Recrmt Supv 2,287460
Aerospace Engr 2,1076124
Aerospace Engr 3,907484
Aerospace Engr 4,694928
Aerospace Engr 5,175677
Aerospace Mgr 2,1130384
Aerospace Mgr 3,748973
Aerospace Tchn 3,168240
Agricultural Tchn,41848
Agricultural Tchn Sr,25025
Agron Aes,4974421
Agron Aes-Ay,4338830
Applications Prg Supv 2,480588
